"identif","ds","carga","intensidad","ocupacion","vmed","vel.med","carga.med","carga.15","vmed.15","carga.30","vmed.30","carga.45","vmed.45","Hora","diaSemana","diaMes","Mes","fechaTrunc","Dia_semana","festivo","Tipo de Festivo","Festividad"
"PM10001",2016-11-29 01:00:00,0.06,344,1,50.107953,0.1639255,0.4127924,0.04,0.9717544,0.03,0.6276906,0.03,0.4311316,"01","Tuesday","29","11",2016-11-29,"martes","laborable",NA,NA
"PM10001",2016-11-29 01:15:00,0.04,304,1,71.9208442,0.1639255,0.4127924,0.03,0.6278552,0.03,0.4311797,0.03,0.4311316,"01","Tuesday","29","11",2016-11-29,"martes","laborable",NA,NA
"PM10001",2016-11-29 01:30:00,0.03,237,0,46.4724736,0.1639255,0.4127924,0.03,0.4313414,0.03,0.4311797,0.02,0.1364292,"01","Tuesday","29","11",2016-11-29,"martes","laborable",NA,NA
"PM10001",2016-11-29 01:45:00,0.03,216,1,31.9305412,0.1639255,0.4127924,0.03,0.4313414,0.02,0.1364134,0.02,0.4311316,"01","Tuesday","29","11",2016-11-29,"martes","laborable",NA,NA
"PM10001",2016-11-29 02:00:00,0.03,172,1,31.9305412,0.1639255,0.4127924,0.02,0.1365706,0.02,0.4311797,0.03,0.7258341,"02","Tuesday","29","11",2016-11-29,"martes","laborable",NA,NA
"PM10001",2016-11-29 02:15:00,0.02,164,0,10.11765,0.1639255,0.4127924,0.02,0.4313414,0.03,0.725946,0.03,0.3328975,"02","Tuesday","29","11",2016-11-29,"martes","laborable",NA,NA
"PM10001",2016-11-29 02:30:00,0.02,132,0,31.9305412,0.1639255,0.4127924,0.03,0.7261121,0.03,0.3329243,0.03,0.2837804,"02","Tuesday","29","11",2016-11-29,"martes","laborable",NA,NA
"PM10001",2016-11-29 02:45:00,0.03,111,0,53.7434324,0.1639255,0.4127924,0.03,0.3330845,0.03,0.2837966,0.03,0.7258341,"02","Tuesday","29","11",2016-11-29,"martes","laborable",NA,NA
"PM10001",2016-11-29 03:00:00,0.03,120,0,24.659575,0.1639255,0.4127924,0.03,0.283956,0.03,0.725946,0.03,-0.2073904,"03","Tuesday","29","11",2016-11-29,"martes","laborable",NA,NA
"PM10001",2016-11-29 03:15:00,0.03,152,0,21.0240956,0.1639255,0.4127924,0.03,0.7261121,0.03,-0.2074806,0.03,-0.4038587,"03","Tuesday","29","11",2016-11-29,"martes","laborable",NA,NA
