"fecha","prec","prec_norm","prec_zscore"
2016-01-01,3.2,0.115107913669065,0.614956570534576
2016-01-02,0,0,-0.308145639943706
2016-01-03,0.4,0.0143884892086331,-0.192757863633921
2016-01-04,4.1,0.147482014388489,0.874579067231592
2016-01-05,0,0,-0.308145639943706
2016-01-06,0.3,0.0107913669064748,-0.221604807711367
2016-01-07,0.5,0.0179856115107914,-0.163910919556475
2016-01-08,6,0.215827338129496,1.42267100470307
2016-01-09,0.2,0.00719424460431655,-0.250451751788814
2016-01-10,12,0.431654676258993,3.15348764934985
2016-01-11,0.4,0.0143884892086331,-0.192757863633921
2016-01-12,0,0,-0.308145639943706
2016-01-13,0,0,-0.308145639943706
2016-01-14,2.1,0.0755395683453237,0.297640185682666
2016-01-15,0,0,-0.308145639943706
2016-01-16,0,0,-0.308145639943706
2016-01-17,0,0,-0.308145639943706
2016-01-18,0,0,-0.308145639943706
2016-01-19,0,0,-0.308145639943706
2016-01-20,0,0,-0.308145639943706
2016-01-21,0,0,-0.308145639943706
2016-01-22,0.8,0.0287769784172662,-0.0773700873241358
2016-01-23,0,0,-0.308145639943706
2016-01-24,0,0,-0.308145639943706
2016-01-25,0,0,-0.308145639943706
2016-01-26,0,0,-0.308145639943706
2016-01-27,0,0,-0.308145639943706
2016-01-28,3.7,0.133093525179856,0.759191290921807
2016-01-29,0.5,0.0179856115107914,-0.163910919556475
2016-01-30,0,0,-0.308145639943706
2016-01-31,0,0,-0.308145639943706
2016-02-01,0,0,-0.308145639943706
2016-02-02,0,0,-0.308145639943706
2016-02-03,0,0,-0.308145639943706
2016-02-04,0,0,-0.308145639943706
2016-02-05,0,0,-0.308145639943706
2016-02-06,13.8,0.496402877697842,3.67273264274388
2016-02-07,0,0,-0.308145639943706
2016-02-08,0,0,-0.308145639943706
2016-02-09,0.6,0.0215827338129496,-0.135063975479028
2016-02-10,0,0,-0.308145639943706
2016-02-11,2.8,0.100719424460432,0.49956879422479
2016-02-12,6.2,0.223021582733813,1.48036489285796
2016-02-13,2.3,0.0827338129496403,0.355334073837559
2016-02-14,2.4,0.0863309352517986,0.384181017915005
2016-02-15,0,0,-0.308145639943706
2016-02-16,0,0,-0.308145639943706
2016-02-17,2.2,0.079136690647482,0.326487129760113
2016-02-18,1.7,0.0611510791366906,0.182252409372881
2016-02-19,0,0,-0.308145639943706
2016-02-20,0,0,-0.308145639943706
2016-02-21,0,0,-0.308145639943706
2016-02-22,0,0,-0.308145639943706
2016-02-23,0,0,-0.308145639943706
2016-02-24,1.5,0.0539568345323741,0.124558521217988
2016-02-25,0,0,-0.308145639943706
2016-02-26,5.8,0.20863309352518,1.36497711654818
2016-02-27,0,0,-0.308145639943706
2016-02-28,0,0,-0.308145639943706
2016-02-29,0,0,-0.308145639943706
2016-03-01,0,0,-0.308145639943706
2016-03-02,0,0,-0.308145639943706
2016-03-03,0,0,-0.308145639943706
2016-03-04,1.5,0.0539568345323741,0.124558521217988
2016-03-05,0,0,-0.308145639943706
2016-03-06,1.1,0.039568345323741,0.00917074490820314
2016-03-07,0.5,0.0179856115107914,-0.163910919556475
2016-03-08,0,0,-0.308145639943706
2016-03-09,0,0,-0.308145639943706
2016-03-10,0,0,-0.308145639943706
2016-03-11,0,0,-0.308145639943706
2016-03-12,0,0,-0.308145639943706
2016-03-13,0,0,-0.308145639943706
2016-03-14,0,0,-0.308145639943706
2016-03-15,0,0,-0.308145639943706
2016-03-16,0,0,-0.308145639943706
2016-03-17,0,0,-0.308145639943706
2016-03-18,18.4,0.661870503597122,4.99969207030641
2016-03-19,0.2,0.00719424460431655,-0.250451751788814
2016-03-20,0.1,0.00359712230215827,-0.27929869586626
2016-03-21,19.8,0.712230215827338,5.40354928739066
2016-03-22,0.1,0.00359712230215827,-0.27929869586626
2016-03-23,0,0,-0.308145639943706
2016-03-24,0,0,-0.308145639943706
2016-03-25,0,0,-0.308145639943706
2016-03-26,0.5,0.0179856115107914,-0.163910919556475
2016-03-27,0,0,-0.308145639943706
2016-03-28,0,0,-0.308145639943706
2016-03-29,0,0,-0.308145639943706
2016-03-30,0.5,0.0179856115107914,-0.163910919556475
2016-03-31,0,0,-0.308145639943706
2016-04-01,0,0,-0.308145639943706
2016-04-02,0,0,-0.308145639943706
2016-04-03,6.6,0.237410071942446,1.59575266916775
2016-04-04,13.2,0.474820143884892,3.49965097827921
2016-04-05,0,0,-0.308145639943706
2016-04-06,0,0,-0.308145639943706
2016-04-07,0,0,-0.308145639943706
2016-04-08,0,0,-0.308145639943706
2016-04-09,0,0,-0.308145639943706
2016-04-10,1.9,0.0683453237410072,0.239946297527774
2016-04-11,5.8,0.20863309352518,1.36497711654818
2016-04-12,11.8,0.424460431654676,3.09579376119496
2016-04-13,0,0,-0.308145639943706
2016-04-14,0,0,-0.308145639943706
2016-04-15,1.8,0.0647482014388489,0.211099353450327
2016-04-16,14.7,0.528776978417266,3.9323551394409
2016-04-17,0,0,-0.308145639943706
2016-04-18,0,0,-0.308145639943706
2016-04-19,27.8,1,7.71130481358637
2016-04-20,2.6,0.0935251798561151,0.441874906069898
2016-04-21,1,0.0359712230215827,-0.0196761991692432
2016-04-22,0,0,-0.308145639943706
2016-04-23,3.9,0.140287769784173,0.8168851790767
2016-04-24,0,0,-0.308145639943706
2016-04-25,0,0,-0.308145639943706
2016-04-26,0,0,-0.308145639943706
2016-04-27,1.1,0.039568345323741,0.00917074490820314
2016-04-28,0,0,-0.308145639943706
2016-04-29,1,0.0359712230215827,-0.0196761991692432
2016-04-30,0,0,-0.308145639943706
