"identif","carga.15","intensidad.15","ocupacion.15","velocidad.15","Hora","diaSemana","diaMes","Mes"
"PM10013","0","120","0","90","01","Wednesday","29","11"
"PM10021","0","60","0","0","01","Wednesday","29","11"
"PM10091","0","240","0","0","01","Wednesday","29","11"
"PM10092","0","0","0","42","01","Wednesday","29","11"
"PM10141","0","180","0","96","01","Wednesday","29","11"
"PM10142","0","0","0","82","01","Wednesday","29","11"
"PM10211","0","300","0","46","01","Wednesday","29","11"
"PM10212","0","60","0","95","01","Wednesday","29","11"
"PM10241","0","240","0","93","01","Wednesday","29","11"
"PM10242","0","180","0","86","01","Wednesday","29","11"
"PM10341","0","240","0","81","01","Wednesday","29","11"
"PM10342","0","120","0","94","01","Wednesday","29","11"
"PM10343","0","120","0","86","01","Wednesday","29","11"
"PM10344","0","60","1","95","01","Wednesday","29","11"
"PM10401","0","180","0","82","01","Wednesday","29","11"
"PM10402","0","420","0","99","01","Wednesday","29","11"
"PM10441","0","240","0","86","01","Wednesday","29","11"
"PM10442","0","300","1","0","01","Wednesday","29","11"
"PM10444","0","0","0","48","01","Wednesday","29","11"
"PM10472","0","360","0","83","01","Wednesday","29","11"
"PM10501","0","240","0","96","01","Wednesday","29","11"
"PM10502","0","720","0","95","01","Wednesday","29","11"
"PM10561","0","180","0","72","01","Wednesday","29","11"
"PM10611","0","180","0","86","01","Wednesday","29","11"
"PM10612","0","240","0","72","01","Wednesday","29","11"
"PM10661","0","360","0","101","01","Wednesday","29","11"
"PM10662","0","180","0","76","01","Wednesday","29","11"
"PM10711","0","660","1","91","01","Wednesday","29","11"
"PM10712","0","780","1","0","01","Wednesday","29","11"
"PM30754","0","360","0","0","01","Wednesday","29","11"
"PM10831","0","300","0","87","01","Wednesday","29","11"
"PM10832","0","960","1","75","01","Wednesday","29","11"
"PM10861","0","60","0","104","01","Wednesday","29","11"
"PM10862","0","180","0","95","01","Wednesday","29","11"
"PM10865","0","660","2","99","01","Wednesday","29","11"
"PM10901","0","60","0","85","01","Wednesday","29","11"
"PM10902","0","300","0","81","01","Wednesday","29","11"
"PM10907","0","120","0","82","01","Wednesday","29","11"
"PM10941","0","60","0","0","01","Wednesday","29","11"
"PM10942","0","120","0","67","01","Wednesday","29","11"
"PM10945","0","360","2","70","01","Wednesday","29","11"
"PM10948","0","0","0","73","01","Wednesday","29","11"
"PM10981","0","540","1","0","01","Wednesday","29","11"
"PM10982","0","0","0","72","01","Wednesday","29","11"
"PM10985","0","0","0","75","01","Wednesday","29","11"
"PM11071","0","300","0","0","01","Wednesday","29","11"
"PM11074","0","120","0","82","01","Wednesday","29","11"
"PM11101","0","180","0","86","01","Wednesday","29","11"
"PM11102","0","120","0","86","01","Wednesday","29","11"
"PM11108","0","240","0","71","01","Wednesday","29","11"
"PM11161","0","360","0","70","01","Wednesday","29","11"
"PM11168","0","240","0","0","01","Wednesday","29","11"
"PM11201","0","360","0","82","01","Wednesday","29","11"
"PM11208","0","300","1","0","01","Wednesday","29","11"
"PM11301","0","240","0","0","01","Wednesday","29","11"
"PM11303","0","60","0","74","01","Wednesday","29","11"
"PM11981","0","180","0","54","01","Wednesday","29","11"
"PM12061","0","180","0","0","01","Wednesday","29","11"
"PM12121","0","180","0","0","01","Wednesday","29","11"
"PM12122","0","0","0","51","01","Wednesday","29","11"
"PM12211","0","180","0","0","01","Wednesday","29","11"
"PM12241","0","120","0","56","01","Wednesday","29","11"
"PM12331","0","0","0","0","01","Wednesday","29","11"
"PM12342","0","120","0","0","01","Wednesday","29","11"
