"identif","carga.15","intensidad.15","ocupacion.15","velocidad.15","Hora","diaSemana","diaMes","Mes"
"PM10013","0","960","4","80","22","Tuesday","28","11"
"PM10021","0","2580","6","48","22","Tuesday","28","11"
"PM10091","0","2640","5","80","22","Tuesday","28","11"
"PM10092","0","360","1","40","22","Tuesday","28","11"
"PM10141","0","1380","3","93","22","Tuesday","28","11"
"PM10142","0","1140","4","72","22","Tuesday","28","11"
"PM10211","0","1260","2","47","22","Tuesday","28","11"
"PM10212","0","1320","2","89","22","Tuesday","28","11"
"PM10241","0","1080","1","78","22","Tuesday","28","11"
"PM10242","0","1800","2","82","22","Tuesday","28","11"
"PM10341","0","1860","4","80","22","Tuesday","28","11"
"PM10342","0","1080","2","88","22","Tuesday","28","11"
"PM10343","0","780","7","80","22","Tuesday","28","11"
"PM10344","0","360","3","86","22","Tuesday","28","11"
"PM10401","0","1620","2","77","22","Tuesday","28","11"
"PM10402","0","1860","2","95","22","Tuesday","28","11"
"PM10441","0","1980","4","82","22","Tuesday","28","11"
"PM10442","0","960","3","71","22","Tuesday","28","11"
"PM10444","0","420","3","47","22","Tuesday","28","11"
"PM10472","0","2760","5","84","22","Tuesday","28","11"
"PM10501","0","1560","4","95","22","Tuesday","28","11"
"PM10502","0","3840","5","67","22","Tuesday","28","11"
"PM10561","0","1320","5","69","22","Tuesday","28","11"
"PM10611","0","2400","4","70","22","Tuesday","28","11"
"PM10612","0","1200","4","74","22","Tuesday","28","11"
"PM10661","0","2160","4","87","22","Tuesday","28","11"
"PM10662","0","2820","6","72","22","Tuesday","28","11"
"PM10711","0","2880","5","71","22","Tuesday","28","11"
"PM10712","0","1920","4","62","22","Tuesday","28","11"
"PM30754","0","1500","3","67","22","Tuesday","28","11"
"PM10831","0","2160","2","74","22","Tuesday","28","11"
"PM10832","0","3540","7","69","22","Tuesday","28","11"
"PM10861","0","2520","3","94","22","Tuesday","28","11"
"PM10862","0","2580","8","74","22","Tuesday","28","11"
"PM10865","0","840","3","91","22","Tuesday","28","11"
"PM10901","0","2160","9","83","22","Tuesday","28","11"
"PM10902","0","2040","10","82","22","Tuesday","28","11"
"PM10907","0","360","2","71","22","Tuesday","28","11"
"PM10941","0","2220","4","74","22","Tuesday","28","11"
"PM10942","0","120","0","61","22","Tuesday","28","11"
"PM10945","0","660","7","75","22","Tuesday","28","11"
"PM10948","0","180","1","80","22","Tuesday","28","11"
"PM10981","0","2340","5","61","22","Tuesday","28","11"
"PM10982","0","540","1","89","22","Tuesday","28","11"
"PM10985","0","180","1","82","22","Tuesday","28","11"
"PM11071","0","3300","6","82","22","Tuesday","28","11"
"PM11074","0","780","7","71","22","Tuesday","28","11"
"PM11101","0","1740","6","89","22","Tuesday","28","11"
"PM11102","0","660","5","80","22","Tuesday","28","11"
"PM11108","0","1680","4","72","22","Tuesday","28","11"
"PM11161","0","2040","4","80","22","Tuesday","28","11"
"PM11168","0","1560","5","68","22","Tuesday","28","11"
"PM11201","0","1620","2","75","22","Tuesday","28","11"
"PM11208","0","1020","3","100","22","Tuesday","28","11"
"PM11301","0","720","3","104","22","Tuesday","28","11"
"PM11303","0","540","1","94","22","Tuesday","28","11"
"PM11981","0","960","2","67","22","Tuesday","28","11"
"PM12061","0","1200","2","50","22","Tuesday","28","11"
"PM12121","0","1380","2","54","22","Tuesday","28","11"
"PM12122","0","180","1","59","22","Tuesday","28","11"
"PM12211","0","1260","2","0","22","Tuesday","28","11"
"PM12241","0","1260","2","63","22","Tuesday","28","11"
"PM12331","0","420","0","63","22","Tuesday","28","11"
"PM12342","0","900","4","0","22","Tuesday","28","11"
"PM12391","0","1020","2","85","22","Tuesday","28","11"
"PM12471","0","780","26","80","22","Tuesday","28","11"
"PM12502","0","960","2","66","22","Tuesday","28","11"
"PM12571","0","240","0","79","22","Tuesday","28","11"
"PM12572","0","300","2","83","22","Tuesday","28","11"
"PM12622","0","120","1","64","22","Tuesday","28","11"
