"identif","carga.15","intensidad.15","ocupacion.15","velocidad.15","Hora","diaSemana","diaMes","Mes"
"PM10013","0","480","1","77","00","Wednesday","29","11"
"PM10021","0","960","2","0","00","Wednesday","29","11"
"PM10091","0","1440","2","80","00","Wednesday","29","11"
"PM10092","0","420","1","43","00","Wednesday","29","11"
"PM10141","0","1560","3","94","00","Wednesday","29","11"
"PM10142","0","60","0","75","00","Wednesday","29","11"
"PM10211","0","1200","2","44","00","Wednesday","29","11"
"PM10212","0","420","0","87","00","Wednesday","29","11"
"PM10241","0","900","1","79","00","Wednesday","29","11"
"PM10242","0","960","1","79","00","Wednesday","29","11"
"PM10341","0","840","1","79","00","Wednesday","29","11"
"PM10342","0","1320","3","86","00","Wednesday","29","11"
"PM10343","0","900","8","77","00","Wednesday","29","11"
"PM10344","0","660","5","82","00","Wednesday","29","11"
"PM10401","0","1740","2","75","00","Wednesday","29","11"
"PM10402","0","2460","4","83","00","Wednesday","29","11"
"PM10441","0","2040","4","82","00","Wednesday","29","11"
"PM10442","0","2100","8","80","00","Wednesday","29","11"
"PM10444","0","120","0","47","00","Wednesday","29","11"
"PM10472","0","2460","4","81","00","Wednesday","29","11"
"PM10501","0","1800","5","92","00","Wednesday","29","11"
"PM10502","0","3120","4","74","00","Wednesday","29","11"
"PM10561","0","1260","5","74","00","Wednesday","29","11"
"PM10611","0","2340","4","85","00","Wednesday","29","11"
"PM10612","0","1260","4","81","00","Wednesday","29","11"
"PM10661","0","2820","7","88","00","Wednesday","29","11"
"PM10662","0","1560","5","78","00","Wednesday","29","11"
"PM10711","0","2940","6","73","00","Wednesday","29","11"
"PM10712","0","1500","3","67","00","Wednesday","29","11"
"PM30754","0","1800","3","71","00","Wednesday","29","11"
"PM10831","0","2460","4","84","00","Wednesday","29","11"
"PM10832","0","2700","4","71","00","Wednesday","29","11"
"PM10861","0","2160","3","91","00","Wednesday","29","11"
"PM10862","0","900","1","88","00","Wednesday","29","11"
"PM10865","0","1440","4","89","00","Wednesday","29","11"
"PM10901","0","1740","7","84","00","Wednesday","29","11"
"PM10902","0","600","2","80","00","Wednesday","29","11"
"PM10907","0","180","0","86","00","Wednesday","29","11"
"PM10941","0","2040","4","81","00","Wednesday","29","11"
"PM10942","0","300","0","62","00","Wednesday","29","11"
"PM10945","0","540","4","73","00","Wednesday","29","11"
"PM10948","0","180","1","79","00","Wednesday","29","11"
"PM10981","0","3180","8","59","00","Wednesday","29","11"
"PM10982","0","420","0","80","00","Wednesday","29","11"
"PM10985","0","120","0","83","00","Wednesday","29","11"
"PM11071","0","2580","4","84","00","Wednesday","29","11"
"PM11074","0","300","2","79","00","Wednesday","29","11"
"PM11101","0","900","2","93","00","Wednesday","29","11"
"PM11102","0","180","1","0","00","Wednesday","29","11"
"PM11108","0","1440","5","60","00","Wednesday","29","11"
"PM11161","0","1080","2","71","00","Wednesday","29","11"
"PM11168","0","1500","6","69","00","Wednesday","29","11"
"PM11201","0","1500","2","82","00","Wednesday","29","11"
"PM11208","0","2100","9","79","00","Wednesday","29","11"
"PM11301","0","600","2","77","00","Wednesday","29","11"
"PM11303","0","120","0","79","00","Wednesday","29","11"
"PM11981","0","480","2","85","00","Wednesday","29","11"
"PM12061","0","360","1","57","00","Wednesday","29","11"
"PM12121","0","240","0","60","00","Wednesday","29","11"
"PM12122","0","60","0","64","00","Wednesday","29","11"
"PM12211","0","420","0","64","00","Wednesday","29","11"
"PM12241","0","300","0","63","00","Wednesday","29","11"
"PM12331","0","300","0","69","00","Wednesday","29","11"
"PM12342","0","360","1","70","00","Wednesday","29","11"
"PM12391","0","420","0","76","00","Wednesday","29","11"
"PM12471","0","780","0","80","00","Wednesday","29","11"
"PM12502","0","660","1","0","00","Wednesday","29","11"
"PM12571","0","300","0","69","00","Wednesday","29","11"
"PM12572","0","60","0","60","00","Wednesday","29","11"
"PM12622","0","180","2","0","00","Wednesday","29","11"
"PM12641","0","240","1","0","00","Wednesday","29","11"
"PM12721","0","240","0","0","00","Wednesday","29","11"
"PM12781","0","300","0","95","00","Wednesday","29","11"
"PM12851","0","180","0","91","00","Wednesday","29","11"
"PM12921","0","360","5","93","00","Wednesday","29","11"
"PM12961","0","600","1","75","00","Wednesday","29","11"
"PM12981","0","600","1","83","00","Wednesday","29","11"
"PM13011","0","540","2","90","00","Wednesday","29","11"
"PM13014","0","120","0","83","00","Wednesday","29","11"
"PM13041","0","540","3","89","00","Wednesday","29","11"
"PM13044","0","60","0","73","00","Wednesday","29","11"
"PM13101","0","180","1","82","00","Wednesday","29","11"
"PM13103","0","660","5","81","00","Wednesday","29","11"
"PM13104","0","60","0","83","00","Wednesday","29","11"
"PM13181","0","840","2","82","00","Wednesday","29","11"
"PM13202","0","2580","8","83","00","Wednesday","29","11"
"PM13212","0","0","0","85","00","Wednesday","29","11"
"PM13221","0","0","0","83","00","Wednesday","29","11"
"PM13222","0","0","0","71","00","Wednesday","29","11"
"PM20021","0","540","1","84","00","Wednesday","29","11"
"PM20025","0","60","0","83","00","Wednesday","29","11"
"PM20026","0","600","1","83","00","Wednesday","29","11"
"PM20041","0","840","2","83","00","Wednesday","29","11"
"PM20042","0","480","1","82","00","Wednesday","29","11"
"PM20151","0","1200","1","80","00","Wednesday","29","11"
"PM20152","0","60","0","79","00","Wednesday","29","11"
"PM20231","0","720","1","79","00","Wednesday","29","11"
"PM20232","0","360","0","82","00","Wednesday","29","11"
"PM20233","0","360","2","0","00","Wednesday","29","11"
"PM20261","0","780","2","87","00","Wednesday","29","11"
"PM20262","0","960","1","81","00","Wednesday","29","11"
"PM20321","0","960","1","82","00","Wednesday","29","11"
"PM20322","0","1020","2","0","00","Wednesday","29","11"
"PM20327","0","120","0","55","00","Wednesday","29","11"
"PM20411","0","1200","2","56","00","Wednesday","29","11"
"PM20412","0","1140","3","79","00","Wednesday","29","11"
"PM20441","0","1020","1","84","00","Wednesday","29","11"
"PM20442","0","720","2","71","00","Wednesday","29","11"
"PM20471","0","360","0","85","00","Wednesday","29","11"
"PM20472","0","540","1","81","00","Wednesday","29","11"
"PM20473","0","420","2","72","00","Wednesday","29","11"
"PM20571","0","600","1","76","00","Wednesday","29","11"
"PM20572","0","1560","2","83","00","Wednesday","29","11"
"PM20661","0","660","1","76","00","Wednesday","29","11"
"PM20662","0","1140","3","71","00","Wednesday","29","11"
"PM20664","0","0","0","75","00","Wednesday","29","11"
"PM20721","0","540","1","86","00","Wednesday","29","11"
"PM20722","0","1140","2","73","00","Wednesday","29","11"
"PM20742","0","960","2","76","00","Wednesday","29","11"
"PM207731","0","180","0","90","00","Wednesday","29","11"
"PM20831","0","1020","2","79","00","Wednesday","29","11"
"PM20832","0","720","1","90","00","Wednesday","29","11"
"PM20834","0","180","1","72","00","Wednesday","29","11"
"PM20851","0","480","0","69","00","Wednesday","29","11"
"PM20852","0","1380","2","81","00","Wednesday","29","11"
"PM20854","0","60","0","78","00","Wednesday","29","11"
"PM20873","0","180","0","83","00","Wednesday","29","11"
"PM20911","0","540","1","76","00","Wednesday","29","11"
"PM20912","0","720","2","74","00","Wednesday","29","11"
"PM20913","0","300","0","90","00","Wednesday","29","11"
"PM20971","0","540","0","85","00","Wednesday","29","11"
"PM20972","0","300","1","90","00","Wednesday","29","11"
"PM20976","0","720","5","90","00","Wednesday","29","11"
"PM21081","0","1020","2","81","00","Wednesday","29","11"
"PM21148","0","300","0","85","00","Wednesday","29","11"
"PM21181","0","660","1","80","00","Wednesday","29","11"
"PM21185","0","180","1","89","00","Wednesday","29","11"
"PM21188","0","420","1","79","00","Wednesday","29","11"
"PM21192","0","300","0","69","00","Wednesday","29","11"
"PM21193","0","360","1","82","00","Wednesday","29","11"
"PM21231","0","360","1","86","00","Wednesday","29","11"
"PM21236","0","60","0","70","00","Wednesday","29","11"
"PM21301","0","780","1","72","00","Wednesday","29","11"
"PM21307","0","360","1","52","00","Wednesday","29","11"
"PM21941","0","540","1","70","00","Wednesday","29","11"
"PM22081","0","480","0","65","00","Wednesday","29","11"
"PM22082","0","60","0","75","00","Wednesday","29","11"
"PM22121","0","600","1","87","00","Wednesday","29","11"
"PM22211","0","900","1","78","00","Wednesday","29","11"
"PM22241","0","720","1","73","00","Wednesday","29","11"
"PM22341","0","240","0","77","00","Wednesday","29","11"
"PM22391","0","480","0","60","00","Wednesday","29","11"
"PM22392","0","180","1","73","00","Wednesday","29","11"
"PM22471","0","420","0","80","00","Wednesday","29","11"
"PM22571","0","420","1","44","00","Wednesday","29","11"
"PM22572","0","240","1","80","00","Wednesday","29","11"
"PM22641","0","360","0","52","00","Wednesday","29","11"
"PM22721","0","180","0","80","00","Wednesday","29","11"
"PM22781","0","300","0","96","00","Wednesday","29","11"
"PM22851","0","540","3","58","00","Wednesday","29","11"
"PM22901","0","180","0","0","00","Wednesday","29","11"
"PM22971","0","720","1","86","00","Wednesday","29","11"
"PM23011","0","780","1","66","00","Wednesday","29","11"
"PM23071","0","840","3","54","00","Wednesday","29","11"
"PM23073","0","1200","4","68","00","Wednesday","29","11"
"PM23111","0","840","1","0","00","Wednesday","29","11"
"PM23181","0","180","0","0","00","Wednesday","29","11"
"PM23187","0","1020","2","64","00","Wednesday","29","11"
"PM23221","0","420","2","84","00","Wednesday","29","11"
"PM23222","0","180","1","60","00","Wednesday","29","11"
"PM30461","0","1500","2","83","00","Wednesday","29","11"
"PM30462","0","300","4","75","00","Wednesday","29","11"
"PM30471","0","240","1","88","00","Wednesday","29","11"
"PM30472","0","60","1","73","00","Wednesday","29","11"
"PM30752","0","720","1","81","00","Wednesday","29","11"
"PM30753","0","240","1","85","00","Wednesday","29","11"
"PM30901","0","300","1","54","00","Wednesday","29","11"
"PM30902","0","0","0","80","00","Wednesday","29","11"
"PM31263","0","720","2","71","00","Wednesday","29","11"
"PM31264","0","60","0","49","00","Wednesday","29","11"
"PM31301","0","660","1","50","00","Wednesday","29","11"
"PM31451","0","1500","4","98","00","Wednesday","29","11"
"PM31452","0","-127","0","80","00","Wednesday","29","11"
"PM31453","0","1860","0","79","00","Wednesday","29","11"
"PM31801","0","1440","2","71","00","Wednesday","29","11"
"PM31851","0","1380","2","63","00","Wednesday","29","11"
"PM31852","0","120","1","86","00","Wednesday","29","11"
"PM31881","0","1380","4","0","00","Wednesday","29","11"
"PM31882","0","240","3","66","00","Wednesday","29","11"
"PM31891","0","1380","5","0","00","Wednesday","29","11"
"PM31892","0","240","3","58","00","Wednesday","29","11"
"PM32051","0","360","0","78","00","Wednesday","29","11"
"PM32351","0","960","2","76","00","Wednesday","29","11"
"PM32352","0","240","2","0","00","Wednesday","29","11"
