"identif","carga.15","intensidad.15","ocupacion.15","velocidad.15","Hora","diaSemana","diaMes","Mes"
"PM10013","0","1320","6","62","21","Tuesday","28","11"
"PM10021","0","4020","12","43","21","Tuesday","28","11"
"PM10091","0","5700","17","67","21","Tuesday","28","11"
"PM10092","0","840","2","32","21","Tuesday","28","11"
"PM10141","0","3540","10","56","21","Tuesday","28","11"
"PM10142","0","2340","10","50","21","Tuesday","28","11"
"PM10211","0","3720","8","47","21","Tuesday","28","11"
"PM10212","0","3600","10","24","21","Tuesday","28","11"
"PM10241","0","3780","8","29","21","Tuesday","28","11"
"PM10242","0","4500","8","38","21","Tuesday","28","11"
"PM10341","0","4440","12","44","21","Tuesday","28","11"
"PM10342","0","3840","11","70","21","Tuesday","28","11"
"PM10343","0","240","2","62","21","Tuesday","28","11"
"PM10344","0","480","4","73","21","Tuesday","28","11"
"PM10401","0","4080","7","63","21","Tuesday","28","11"
"PM10402","0","3960","8","83","21","Tuesday","28","11"
"PM10441","0","3840","10",NA,"21","Tuesday","28","11"
"PM10442","0","2460","12","65","21","Tuesday","28","11"
"PM10444","0","480","4","47","21","Tuesday","28","11"
"PM10472","0","4860","14","75","21","Tuesday","28","11"
"PM10501","0","3480","29","75","21","Tuesday","28","11"
"PM10502","0","6120","28","63","21","Tuesday","28","11"
"PM10561","0","3480","27","63","21","Tuesday","28","11"
"PM10611","0","5580","12","68","21","Tuesday","28","11"
"PM10612","0","2400","12","66","21","Tuesday","28","11"
"PM10661","0","4140","11","75","21","Tuesday","28","11"
"PM10662","0","4020","14","73","21","Tuesday","28","11"
"PM10711","0","5400","10","59","21","Tuesday","28","11"
"PM10712",NA,NA,NA,"64","21","Tuesday","28","11"
"PM30754","0","3720","9","72","21","Tuesday","28","11"
"PM10831","0","5160","7","70","21","Tuesday","28","11"
"PM10832","0","5280","13","66","21","Tuesday","28","11"
"PM10861","0","4920","8","87","21","Tuesday","28","11"
"PM10862","0","3840","11","75","21","Tuesday","28","11"
"PM10865","0","2280","10","89","21","Tuesday","28","11"
"PM10901","0","4020","22","77","21","Tuesday","28","11"
"PM10902","0","2520","13","82","21","Tuesday","28","11"
"PM10907","0","600","5","76","21","Tuesday","28","11"
"PM10941","0","3120","7","74","21","Tuesday","28","11"
"PM10942","0","1020","3","58","21","Tuesday","28","11"
"PM10945","0","1740","16","70","21","Tuesday","28","11"
"PM10948","0","240","2","81","21","Tuesday","28","11"
"PM10981","0","4800","12","57","21","Tuesday","28","11"
"PM10982","0","1140","2","82","21","Tuesday","28","11"
"PM10985","0","720","6","80","21","Tuesday","28","11"
"PM11071","0","5940","13","84","21","Tuesday","28","11"
