"identif","carga.15","intensidad.15","ocupacion.15","velocidad.15","Hora","diaSemana","diaMes","Mes"
"PM10013","0","1860","10","22","20","Tuesday","28","11"
"PM10021","0","5580","20","45","20","Tuesday","28","11"
"PM10091","0","6540","24","42","20","Tuesday","28","11"
"PM10092","0","1200","4","18","20","Tuesday","28","11"
"PM10141","0","4320","11","31","20","Tuesday","28","11"
"PM10142","0","2700","12","28","20","Tuesday","28","11"
"PM10211","0","3840","11","45","20","Tuesday","28","11"
"PM10212","0","4200","12","28","20","Tuesday","28","11"
"PM10241","0","3180","8","36","20","Tuesday","28","11"
"PM10242","0","4140","8","36","20","Tuesday","28","11"
"PM10341","0","4320","26","44","20","Tuesday","28","11"
"PM10342","0","3960","30","66","20","Tuesday","28","11"
"PM10343","0","660","6","61","20","Tuesday","28","11"
"PM10344","0","300","3","66","20","Tuesday","28","11"
"PM10401","0","4380","37","59","20","Tuesday","28","11"
"PM10402","0","3540","30","78","20","Tuesday","28","11"
"PM10441","0","4260","35","66","20","Tuesday","28","11"
"PM10442","0","2760","35","67","20","Tuesday","28","11"
"PM10444","0","1140","15","48","20","Tuesday","28","11"
"PM10472","0","3840","30","72","20","Tuesday","28","11"
"PM10501","0","3900","29","85","20","Tuesday","28","11"
"PM10502","0","6300","32","57","20","Tuesday","28","11"
"PM10561","0","3540","31","60","20","Tuesday","28","11"
"PM10611","0","4980","13","59","20","Tuesday","28","11"
"PM10612","0","3420","15","68","20","Tuesday","28","11"
"PM10661","0","4260","14","75","20","Tuesday","28","11"
"PM10662","0","4740","13","67","20","Tuesday","28","11"
"PM10711","0","5880","13","62","20","Tuesday","28","11"
"PM10712","0","5040","15","57","20","Tuesday","28","11"
"PM30754","0","3360","8","60","20","Tuesday","28","11"
"PM10831","0","4920","7","68","20","Tuesday","28","11"
"PM10832","0","4800","22","62","20","Tuesday","28","11"
"PM10861","0","4440","7","85","20","Tuesday","28","11"
"PM10862","0","3840","13","67","20","Tuesday","28","11"
"PM10865","0","2520","13","87","20","Tuesday","28","11"
"PM10901","0","3120","15","70","20","Tuesday","28","11"
"PM10902","0","2940","17","79","20","Tuesday","28","11"
"PM10907","0","1260","9","63","20","Tuesday","28","11"
"PM10941","0","3480","8","70","20","Tuesday","28","11"
"PM10942","0","960","3","58","20","Tuesday","28","11"
"PM10945","0","1440","13","63","20","Tuesday","28","11"
"PM10948","0","540","4","76","20","Tuesday","28","11"
"PM10981","0","5340","15","79","20","Tuesday","28","11"
"PM10982","0","1680","5","74","20","Tuesday","28","11"
"PM10985","0","900","9","73","20","Tuesday","28","11"
"PM11071","0","5820","14","88","20","Tuesday","28","11"
"PM11074","0","1200","20","0","20","Tuesday","28","11"
"PM11101","0","3300","13","83","20","Tuesday","28","11"
"PM11102","0","840","9","79","20","Tuesday","28","11"
"PM11108","0","2460","8","60","20","Tuesday","28","11"
"PM11161","0","4500","13","70","20","Tuesday","28","11"
"PM11168","0","2220","7","66","20","Tuesday","28","11"
"PM11201","0","5340","10","76","20","Tuesday","28","11"
"PM11208","0","1980","6","86","20","Tuesday","28","11"
"PM11301","0","2940","14","84","20","Tuesday","28","11"
"PM11303","0","1380","5","80","20","Tuesday","28","11"
"PM11981","0","2400","9","59","20","Tuesday","28","11"
"PM12061","0","2880","8","48","20","Tuesday","28","11"
"PM12121","0","1500","3","55","20","Tuesday","28","11"
"PM12122","0","120","0","35","20","Tuesday","28","11"
"PM12211","0","2520","6","23","20","Tuesday","28","11"
"PM12241","0","2820","7","50","20","Tuesday","28","11"
"PM12331","0","900","1","15","20","Tuesday","28","11"
"PM12342","0","2040","0","64","20","Tuesday","28","11"
"PM12391","0","2820","6","17","20","Tuesday","28","11"
"PM12471","0","3420","5","55","20","Tuesday","28","11"
"PM12502","0","2400","7","56","20","Tuesday","28","11"
"PM12571","0","660","1","57","20","Tuesday","28","11"
"PM12572","0","1020","8","69","20","Tuesday","28","11"
"PM12622","0","660","9","62","20","Tuesday","28","11"
"PM12641","0","1080","4","64","20","Tuesday","28","11"
"PM12721","0","1380","1","58","20","Tuesday","28","11"
"PM12781","0","1380","4","89","20","Tuesday","28","11"
"PM12851","0","1560","8","86","20","Tuesday","28","11"
"PM12921","0","360","14","90","20","Tuesday","28","11"
"PM12961","0","1860","6","67","20","Tuesday","28","11"
"PM12981","0","1140","6","64","20","Tuesday","28","11"
"PM13011","0","360","41","72","20","Tuesday","28","11"
"PM13014","0","300","2","67","20","Tuesday","28","11"
"PM13041","0","960","37","82","20","Tuesday","28","11"
"PM13044","0","720","8","63","20","Tuesday","28","11"
"PM13101","0","420","45","77","20","Tuesday","28","11"
"PM13103","0","1980","22","66","20","Tuesday","28","11"
"PM13104","0","300","6","64","20","Tuesday","28","11"
"PM13181","0","1980","9","76","20","Tuesday","28","11"
"PM13202","0","4260","11","65","20","Tuesday","28","11"
"PM13212","0","1560","7","70","20","Tuesday","28","11"
"PM13221","0","540","5","67","20","Tuesday","28","11"
"PM13222","0","780","8","39","20","Tuesday","28","11"
"PM20021","0","2640","5","78","20","Tuesday","28","11"
"PM20025","0","1140","8","23","20","Tuesday","28","11"
"PM20026","0","3060","13","80","20","Tuesday","28","11"
"PM20041","0","3900","11","50","20","Tuesday","28","11"
"PM20042","0","2040","8","64","20","Tuesday","28","11"
"PM20151","0","4140","7","77","20","Tuesday","28","11"
"PM20152","0","480","4","63","20","Tuesday","28","11"
"PM20231","0","3240","8","76","20","Tuesday","28","11"
"PM20232","0","2340","7","71","20","Tuesday","28","11"
"PM20233","0","1740","17","64","20","Tuesday","28","11"
"PM20261","0","2760","6","76","20","Tuesday","28","11"
"PM20262","0","4320","9","67","20","Tuesday","28","11"
"PM20321","0","2520","6","61","20","Tuesday","28","11"
"PM20322","0","4200","12","52","20","Tuesday","28","11"
"PM20327","0","720","35","54","20","Tuesday","28","11"
"PM20411","0","5100","13","50","20","Tuesday","28","11"
"PM20412","0","4620","20","72","20","Tuesday","28","11"
"PM20441","0","4560","8","66","20","Tuesday","28","11"
"PM20442","0","1800","44","61","20","Tuesday","28","11"
"PM20471","0","2700","6","78","20","Tuesday","28","11"
"PM20472","0","1140","6","66","20","Tuesday","28","11"
"PM20473","0","1260","10","61","20","Tuesday","28","11"
"PM20571","0","3120","7","63","20","Tuesday","28","11"
"PM20572","0","5760","12","69","20","Tuesday","28","11"
"PM20661","0","3540","8","66","20","Tuesday","28","11"
"PM20662","0","2820","11","76","20","Tuesday","28","11"
"PM20664","0","1200","11","65","20","Tuesday","28","11"
"PM20721","0","4680","10","77","20","Tuesday","28","11"
"PM20722","0","3180","9","63","20","Tuesday","28","11"
"PM20742","0","3720","13","66","20","Tuesday","28","11"
"PM207731","0","1500","7","72","20","Tuesday","28","11"
"PM20831","0","3420","8","71","20","Tuesday","28","11"
"PM20832","0","2760","11","73","20","Tuesday","28","11"
"PM20834","0","1320","16","73","20","Tuesday","28","11"
"PM20851","0","3540","7","40","20","Tuesday","28","11"
"PM20852","0","7560","13","71","20","Tuesday","28","11"
"PM20854","0","540","4","67","20","Tuesday","28","11"
"PM20873","0","2280","10","73","20","Tuesday","28","11"
"PM20911","0","3540","10","75","20","Tuesday","28","11"
"PM20912","0","2640","10","61","20","Tuesday","28","11"
"PM20913","0","1200","4","23","20","Tuesday","28","11"
"PM20971","0","3120","7","40","20","Tuesday","28","11"
"PM20972","0","780","3","75","20","Tuesday","28","11"
"PM20976","0","2040","19","79","20","Tuesday","28","11"
"PM21081","0","5940","22","73","20","Tuesday","28","11"
"PM21148","0","1200","4","81","20","Tuesday","28","11"
"PM21181","0","3900","12","58","20","Tuesday","28","11"
"PM21185","0","780","7","0","20","Tuesday","28","11"
"PM21188","0","1080","4","75","20","Tuesday","28","11"
"PM21192","0","1140","3","63","20","Tuesday","28","11"
"PM21193","0","1800","21","78","20","Tuesday","28","11"
"PM21231","0","2160","10","79","20","Tuesday","28","11"
"PM21236","0","720","7","79","20","Tuesday","28","11"
"PM21301","0","3480","9","69","20","Tuesday","28","11"
"PM21307","0","2100","8","46","20","Tuesday","28","11"
"PM21941","0","5100","16","39","20","Tuesday","28","11"
"PM22081","0","2460","39","22","20","Tuesday","28","11"
"PM22082","0","300","39","77","20","Tuesday","28","11"
"PM22121","0","3600","16","77","20","Tuesday","28","11"
"PM22211","0","4380","12","74","20","Tuesday","28","11"
"PM22241","0","3180","7","66","20","Tuesday","28","11"
"PM22341","0","2520","14","58","20","Tuesday","28","11"
"PM22391","0","3000","7","57","20","Tuesday","28","11"
"PM22392","0","1380","16","64","20","Tuesday","28","11"
"PM22471","0","4140","0","72","20","Tuesday","28","11"
"PM22571","0","2520","8","8","20","Tuesday","28","11"
"PM22572","0","1140","8","58","20","Tuesday","28","11"
"PM22641","0","3240","10","49","20","Tuesday","28","11"
"PM22721","0","2160","3","74","20","Tuesday","28","11"
"PM22781","0","3120","8","100","20","Tuesday","28","11"
"PM22851","0","1440","8","73","20","Tuesday","28","11"
"PM22901","0","2280","15","46","20","Tuesday","28","11"
"PM22971","0","1560","8","76","20","Tuesday","28","11"
"PM23011","0","1740","47","71","20","Tuesday","28","11"
"PM23071","0","2100","8","42","20","Tuesday","28","11"
"PM23073","0","2880","13","61","20","Tuesday","28","11"
"PM23111","0","3300","5","0","20","Tuesday","28","11"
"PM23181","0","1320","6","0","20","Tuesday","28","11"
"PM23187","0","4140","16","60","20","Tuesday","28","11"
"PM23221","0","2100","10","69","20","Tuesday","28","11"
"PM23222","0","1020","8","50","20","Tuesday","28","11"
"PM30461","0","3900","7","74","20","Tuesday","28","11"
"PM30462","0","540","73","64","20","Tuesday","28","11"
"PM30471","0","2280","11","82","20","Tuesday","28","11"
"PM30472","0","960","11","82","20","Tuesday","28","11"
"PM30752","0","2760","7","70","20","Tuesday","28","11"
"PM30753","0","780","4","70","20","Tuesday","28","11"
"PM30901","0","1140","5","50","20","Tuesday","28","11"
"PM30902","0","660","11","65","20","Tuesday","28","11"
"PM31263","0","1980","8","51","20","Tuesday","28","11"
"PM31264","0","900","7","50","20","Tuesday","28","11"
"PM31301","0","2280","16","47","20","Tuesday","28","11"
"PM31451","0","3060","10","95","20","Tuesday","28","11"
"PM31452","0","-127","0","74","20","Tuesday","28","11"
"PM31453","0","3480","0","85","20","Tuesday","28","11"
"PM31801","0","3840","9","74","20","Tuesday","28","11"
"PM31851","0","3840","9","68","20","Tuesday","28","11"
"PM31852","0","420","5","43","20","Tuesday","28","11"
"PM31881","0","3120","12","90","20","Tuesday","28","11"
"PM31882","0","840","12","65","20","Tuesday","28","11"
"PM31891","0","2580","9","0","20","Tuesday","28","11"
"PM31892","0","600","4","22","20","Tuesday","28","11"
"PM32051","0","1560","6","67","20","Tuesday","28","11"
"PM32351","0","3540","7","68","20","Tuesday","28","11"
"PM32352","0","540","5","54","20","Tuesday","28","11"
"PM33031","0","2160","19","70","20","Tuesday","28","11"
"PM33032","0","960","20","70","20","Tuesday","28","11"
"PM33151","0","1380","9","59","20","Tuesday","28","11"
"PM33152","0","780","4","50","20","Tuesday","28","11"
"PM33201","0","2280","3","53","20","Tuesday","28","11"
"PM33202","0","780","5","40","20","Tuesday","28","11"
"PM33221","0","1740","5","0","20","Tuesday","28","11"
"PM33222","0","300","2","0","20","Tuesday","28","11"
"PM40442","0","960","4","63","20","Tuesday","28","11"
"PM40461","0","4740","29","50","20","Tuesday","28","11"
"PM40751","0","1080","3","79","20","Tuesday","28","11"
"PM40752","0","1080","9","36","20","Tuesday","28","11"
"PM40753","0","0","0","16","20","Tuesday","28","11"
"PM40754","0","900","40","80","20","Tuesday","28","11"
"PM40755","0","1200","10","55","20","Tuesday","28","11"
"PM40901","0","1440","7","87","20","Tuesday","28","11"
"PM40902","0","540","9","64","20","Tuesday","28","11"
"PM41261","0","1680","7","67","20","Tuesday","28","11"
"PM41262","0","660","2","20","20","Tuesday","28","11"
"PM41301","0","1680","4","94","20","Tuesday","28","11"
"PM41302","0","1140","14","80","20","Tuesday","28","11"
"PM41351","0","2340","13","79","20","Tuesday","28","11"
"PM41451","0","3720","18","39","20","Tuesday","28","11"
"PM41452","0","-127","0","31","20","Tuesday","28","11"
"PM41453","0","3120","0","11","20","Tuesday","28","11"
"PM41801","0","3480","11","60","20","Tuesday","28","11"
"PM41802","0","960","5","23","20","Tuesday","28","11"
"PM41851","0","2400","5","71","20","Tuesday","28","11"
