"identif","carga.15","intensidad.15","ocupacion.15","velocidad.15","Hora","diaSemana","diaMes","Mes"
"PM10013","0","1740","9","35","20","Tuesday","28","11"
"PM10021","0","4800","13","47","20","Tuesday","28","11"
"PM10091","0","4440","13","48","20","Tuesday","28","11"
"PM10092","0","780","3","15","20","Tuesday","28","11"
"PM10141","0","3780","14","24","20","Tuesday","28","11"
"PM10142","0","2580","13","36","20","Tuesday","28","11"
"PM10211","0","2760","39","43","20","Tuesday","28","11"
"PM10212","0","3300","11","27","20","Tuesday","28","11"
"PM10241","0","2700","37","33","20","Tuesday","28","11"
"PM10242","0","3840","10","29","20","Tuesday","28","11"
"PM10341","0","3780","29","40","20","Tuesday","28","11"
"PM10342","0","3600","35","65","20","Tuesday","28","11"
"PM10343","0","1020","13","64","20","Tuesday","28","11"
"PM10344","0","120","1","62","20","Tuesday","28","11"
"PM10401","0","4380","35","56","20","Tuesday","28","11"
"PM10402","0","1920","49","74","20","Tuesday","28","11"
"PM10441","0","4380","33","71","20","Tuesday","28","11"
"PM10442","0","3120","27","70","20","Tuesday","28","11"
"PM10444","0","900","12","47","20","Tuesday","28","11"
"PM10472","0","3900","26","75","20","Tuesday","28","11"
"PM10501","0","4080","29","75","20","Tuesday","28","11"
"PM10502","0","6720","27","58","20","Tuesday","28","11"
"PM10561","0","3660","40","61","20","Tuesday","28","11"
"PM10611","0","5940","14","62","20","Tuesday","28","11"
"PM10612","0","2940","12","71","20","Tuesday","28","11"
"PM10661","0","4920","16","69","20","Tuesday","28","11"
"PM10662","0","5340","16","66","20","Tuesday","28","11"
"PM10711","0","6600","16","55","20","Tuesday","28","11"
"PM10712","0","4920","13","55","20","Tuesday","28","11"
"PM30754","0","4080","13","67","20","Tuesday","28","11"
"PM10831","0","4860","7","62","20","Tuesday","28","11"
"PM10832","0","5700","19","57","20","Tuesday","28","11"
"PM10861","0","5460","9","80","20","Tuesday","28","11"
"PM10862","0","3600","11","61","20","Tuesday","28","11"
"PM10865","0","2400","11","81","20","Tuesday","28","11"
"PM10901","0","4200","23","71","20","Tuesday","28","11"
"PM10902","0","2820","16","76","20","Tuesday","28","11"
"PM10907","0","840","6","64","20","Tuesday","28","11"
"PM10941","0","3960","11","69","20","Tuesday","28","11"
"PM10942","0","840","3","59","20","Tuesday","28","11"
"PM10945","0","1380","15","73","20","Tuesday","28","11"
"PM10948","0","720","7","78","20","Tuesday","28","11"
"PM10981","0","4920","15","64","20","Tuesday","28","11"
"PM10982","0","1380","3","76","20","Tuesday","28","11"
"PM10985","0","540","6","70","20","Tuesday","28","11"
"PM11071","0","6420","13","86","20","Tuesday","28","11"
"PM11074","0","1260","13","66","20","Tuesday","28","11"
"PM11101","0","3420","17","83","20","Tuesday","28","11"
"PM11102","0","900","13","73","20","Tuesday","28","11"
"PM11108","0","2760","10","57","20","Tuesday","28","11"
"PM11161","0","4440","15","72","20","Tuesday","28","11"
"PM11168","0","2340","8","64","20","Tuesday","28","11"
"PM11201","0","4980","9","69","20","Tuesday","28","11"
"PM11208","0","1980","7","86","20","Tuesday","28","11"
"PM11301","0","2400","11","85","20","Tuesday","28","11"
"PM11303","0","1740","6","83","20","Tuesday","28","11"
"PM11981","0","3660","13","63","20","Tuesday","28","11"
"PM12061","0","3600","9","44","20","Tuesday","28","11"
"PM12121","0","2700","5","55","20","Tuesday","28","11"
"PM12122","0","420","3","58","20","Tuesday","28","11"
"PM12211","0","3180","7","23","20","Tuesday","28","11"
"PM12241","0","3000","8","51","20","Tuesday","28","11"
"PM12331","0","900","1","20","20","Tuesday","28","11"
"PM12342","0","2100","10","72","20","Tuesday","28","11"
"PM12391","0","2760","6","57","20","Tuesday","28","11"
"PM12471","0","3480","9","69","20","Tuesday","28","11"
"PM12502","0","2520","8","61","20","Tuesday","28","11"
"PM12571","0","1800","4","46","20","Tuesday","28","11"
"PM12572","0","1560","13","64","20","Tuesday","28","11"
"PM12622","0","1020","13","56","20","Tuesday","28","11"
"PM12641","0","1440","5","56","20","Tuesday","28","11"
"PM12721","0","1680","2","64","20","Tuesday","28","11"
"PM12781","0","1380","4","82","20","Tuesday","28","11"
"PM12851","0","2700","14","74","20","Tuesday","28","11"
"PM12921","0","660","18","83","20","Tuesday","28","11"
"PM12961","0","1980","6","64","20","Tuesday","28","11"
"PM12981","0","1560","3","56","20","Tuesday","28","11"
"PM13011","0","840","16","51","20","Tuesday","28","11"
"PM13014","0","360","3","30","20","Tuesday","28","11"
"PM13041","0","1140","41","78","20","Tuesday","28","11"
"PM13044","0","840","9","60","20","Tuesday","28","11"
"PM13101","0","1260","10","83","20","Tuesday","28","11"
"PM13103","0","1920","8","60","20","Tuesday","28","11"
"PM13104","0","300","4","29","20","Tuesday","28","11"
"PM13181","0","1560","9","83","20","Tuesday","28","11"
"PM13202","0","3900","13","41","20","Tuesday","28","11"
"PM13212","0","2160","13","72","20","Tuesday","28","11"
"PM13221","0","1080","12","64","20","Tuesday","28","11"
"PM13222","0","660","6","35","20","Tuesday","28","11"
"PM20021","0","3120","5","65","20","Tuesday","28","11"
"PM20025","0","840","10","40","20","Tuesday","28","11"
"PM20026","0","2520","15","81","20","Tuesday","28","11"
"PM20041","0","3420","22","66","20","Tuesday","28","11"
"PM20042","0","2160","33","62","20","Tuesday","28","11"
"PM20151","0","4980","9","78","20","Tuesday","28","11"
"PM20152","0","1320","14","64","20","Tuesday","28","11"
"PM20231","0","3060","7","77","20","Tuesday","28","11"
"PM20232","0","3120","10","61","20","Tuesday","28","11"
"PM20233","0","1740","36","66","20","Tuesday","28","11"
"PM20261","0","2940","6","75","20","Tuesday","28","11"
"PM20262","0","5040","18","62","20","Tuesday","28","11"
"PM20321","0","2520","6","67","20","Tuesday","28","11"
"PM20322","0","4020","12","55","20","Tuesday","28","11"
"PM20327","0","900","37","58","20","Tuesday","28","11"
"PM20411","0","4500","27","48","20","Tuesday","28","11"
"PM20412","0","4620","18","76","20","Tuesday","28","11"
"PM20441","0","4440","10","69","20","Tuesday","28","11"
"PM20442","0","2820","27","67","20","Tuesday","28","11"
"PM20471","0","2520","6","76","20","Tuesday","28","11"
"PM20472","0","1740","7","64","20","Tuesday","28","11"
"PM20473","0","1200","11","66","20","Tuesday","28","11"
"PM20571","0","2820","7","66","20","Tuesday","28","11"
"PM20572","0","5700","12","65","20","Tuesday","28","11"
"PM20661","0","3000","7","63","20","Tuesday","28","11"
"PM20662","0","3120","15","66","20","Tuesday","28","11"
"PM20664","0","780","8","58","20","Tuesday","28","11"
"PM20721","0","4260","8","73","20","Tuesday","28","11"
"PM20722","0","3360","36","59","20","Tuesday","28","11"
"PM20742","0","2880","10","58","20","Tuesday","28","11"
"PM207731","0","1500","6","67","20","Tuesday","28","11"
"PM20831","0","3180","7","67","20","Tuesday","28","11"
"PM20832","0","2220","8","77","20","Tuesday","28","11"
"PM20834","0","960","8","66","20","Tuesday","28","11"
"PM20851","0","3720","7","29","20","Tuesday","28","11"
"PM20852","0","6180","12","72","20","Tuesday","28","11"
"PM20854","0","720","5","71","20","Tuesday","28","11"
"PM20873","0","900","4","72","20","Tuesday","28","11"
"PM20911","0","3660","10","72","20","Tuesday","28","11"
"PM20912","0","2820","12","51","20","Tuesday","28","11"
"PM20913","0","1320","5","20","20","Tuesday","28","11"
"PM20971","0","4200","10","17","20","Tuesday","28","11"
"PM20972","0","840","4","75","20","Tuesday","28","11"
"PM20976","0","2160","22","84","20","Tuesday","28","11"
"PM21081","0","4920","17","75","20","Tuesday","28","11"
"PM21148","0","1080","3","74","20","Tuesday","28","11"
"PM21181","0","4380","13","37","20","Tuesday","28","11"
"PM21185","0","1140","10","80","20","Tuesday","28","11"
"PM21188","0","960","4","73","20","Tuesday","28","11"
"PM21192","0","1800","8","63","20","Tuesday","28","11"
"PM21193","0","1980","25","80","20","Tuesday","28","11"
"PM21231","0","1740","6","77","20","Tuesday","28","11"
"PM21236","0","360","3","83","20","Tuesday","28","11"
"PM21301","0","2400","6","73","20","Tuesday","28","11"
"PM21307","0","2220","9","45","20","Tuesday","28","11"
"PM21941","0","5280","19","29","20","Tuesday","28","11"
"PM22081","0","2520","46","0","20","Tuesday","28","11"
"PM22082","0","120","36","65","20","Tuesday","28","11"
"PM22121","0","2520","42","76","20","Tuesday","28","11"
"PM22211","0","3900","10","67","20","Tuesday","28","11"
"PM22241","0","1860","3","64","20","Tuesday","28","11"
"PM22341","0","3300","9","55","20","Tuesday","28","11"
"PM22391","0","3120","8","57","20","Tuesday","28","11"
"PM22392","0","1440","26","61","20","Tuesday","28","11"
"PM22471","0","4260","7","75","20","Tuesday","28","11"
"PM22571","0","4140","15","34","20","Tuesday","28","11"
"PM22572","0","2040","15","58","20","Tuesday","28","11"
"PM22641","0","3360","11","51","20","Tuesday","28","11"
"PM22721","0","2160","4","74","20","Tuesday","28","11"
"PM22781","0","2220","5","100","20","Tuesday","28","11"
"PM22851","0","2220","12","76","20","Tuesday","28","11"
"PM22901","0","3000","20","47","20","Tuesday","28","11"
"PM22971","0","1500","51","78","20","Tuesday","28","11"
"PM23011","0","1980","0","73","20","Tuesday","28","11"
"PM23071","0","3540","17","45","20","Tuesday","28","11"
"PM23073","0","3420","16","54","20","Tuesday","28","11"
"PM23111","0","5460","9","0","20","Tuesday","28","11"
"PM23181","0","1920","10","0","20","Tuesday","28","11"
"PM23187","0","5220","19","61","20","Tuesday","28","11"
"PM23221","0","2040","9","68","20","Tuesday","28","11"
"PM23222","0","1200","10","40","20","Tuesday","28","11"
"PM30461","0","3240","6","68","20","Tuesday","28","11"
"PM30462","0","1380","25","66","20","Tuesday","28","11"
"PM30471","0","3120","14","76","20","Tuesday","28","11"
"PM30472","0","1080","10","64","20","Tuesday","28","11"
"PM30752","0","2520","6","66","20","Tuesday","28","11"
"PM30753","0","360","1","78","20","Tuesday","28","11"
"PM30901","0","1440","6","55","20","Tuesday","28","11"
"PM30902","0","420","9","68","20","Tuesday","28","11"
"PM31263","0","2400","9","55","20","Tuesday","28","11"
"PM31264","0","960","8","21","20","Tuesday","28","11"
"PM31301","0","2280","11","44","20","Tuesday","28","11"
"PM31451","0","2400","10","93","20","Tuesday","28","11"
"PM31452","0","-127","0","77","20","Tuesday","28","11"
"PM31453","0","3120","0","90","20","Tuesday","28","11"
"PM31801","0","4620","10","71","20","Tuesday","28","11"
"PM31851","0","5220","12","75","20","Tuesday","28","11"
"PM31852","0","1020","15","48","20","Tuesday","28","11"
"PM31881","0","3120","14","82","20","Tuesday","28","11"
"PM31882","0","600","6","64","20","Tuesday","28","11"
"PM31891","0","3360","12","53","20","Tuesday","28","11"
"PM31892","0","660","7","16","20","Tuesday","28","11"
"PM32051","0","1620","7","68","20","Tuesday","28","11"
"PM32351","0","3060","7","68","20","Tuesday","28","11"
"PM32352","0","540","5","54","20","Tuesday","28","11"
"PM33031","0","2580","21","67","20","Tuesday","28","11"
"PM33032","0","960","19","69","20","Tuesday","28","11"
"PM33151","0","1020","51","59","20","Tuesday","28","11"
"PM33152","0","1320","8","39","20","Tuesday","28","11"
"PM33201","0","2100","3","42","20","Tuesday","28","11"
"PM33202","0","780","5","44","20","Tuesday","28","11"
"PM33221","0","1620","5","0","20","Tuesday","28","11"
"PM33222","0","420","3","0","20","Tuesday","28","11"
"PM40442","0","540","2","68","20","Tuesday","28","11"
"PM40461","0","4200","28","58","20","Tuesday","28","11"
"PM40751","0","1380","4","74","20","Tuesday","28","11"
"PM40752","0","960","8","36","20","Tuesday","28","11"
"PM40753","0","300","6","-127","20","Tuesday","28","11"
"PM40754","0","480","73","73","20","Tuesday","28","11"
"PM40755","0","840","9","56","20","Tuesday","28","11"
"PM40901","0","1680","9","84","20","Tuesday","28","11"
"PM40902","0","420","8","67","20","Tuesday","28","11"
"PM41261","0","1200","5","63","20","Tuesday","28","11"
"PM41262","0","540","2","19","20","Tuesday","28","11"
"PM41301","0","420","0","84","20","Tuesday","28","11"
"PM41302","0","420","10","67","20","Tuesday","28","11"
"PM41351","0","720","4","65","20","Tuesday","28","11"
"PM41451","0","2520","11","42","20","Tuesday","28","11"
"PM41452","0","-127","0","40","20","Tuesday","28","11"
"PM41453","0","2940","0","40","20","Tuesday","28","11"
"PM41801","0","2460","7","70","20","Tuesday","28","11"
"PM41802","0","780","4","37","20","Tuesday","28","11"
"PM41851","0","2400","6","59","20","Tuesday","28","11"
"PM41852","0","180","3","17","20","Tuesday","28","11"
"PM41853","0","0","45","31","20","Tuesday","28","11"
"PM41881","0","2640","12","50","20","Tuesday","28","11"
"PM41882","0","600","7","37","20","Tuesday","28","11"
"PM41891","0","2640","10","20","20","Tuesday","28","11"
"PM41892","0","1020","7","30","20","Tuesday","28","11"
"PM42051","0","1500","6","51","20","Tuesday","28","11"
"PM42052","0","1140","34","53","20","Tuesday","28","11"
"PM42351","0","3360","6","61","20","Tuesday","28","11"
"PM42352","0","960","8","66","20","Tuesday","28","11"
"PM42353","0","1140","4","31","20","Tuesday","28","11"
"PM43001","0","3120","25","23","20","Tuesday","28","11"
"PM43011","0","3000","30","51","20","Tuesday","28","11"
"PM43012","0","420","27","66","20","Tuesday","28","11"
"PM43021","0","2700","14","57","20","Tuesday","28","11"
"PM43022","0","2220","31","51","20","Tuesday","28","11"
"PM43031","0","2580","17","68","20","Tuesday","28","11"
"PM43032","0","1260","72","60","20","Tuesday","28","11"
"PM43151","0","2580","21","71","20","Tuesday","28","11"
"PM43152","0","120","0","44","20","Tuesday","28","11"
"PM43201","0","2880","15","46","20","Tuesday","28","11"
"PM43202","0","900","46","47","20","Tuesday","28","11"
"PM43221","0","3000","32","68","20","Tuesday","28","11"
"PM43222","0","840","10","10","20","Tuesday","28","11"
"PM43223","0","900","10","59","20","Tuesday","28","11"
"PM20667","0","900","3","16","20","Tuesday","28","11"
"PM20942","0","2160","10",NA,"20","Tuesday","28","11"
"PM22502","0","2340","6","54","20","Tuesday","28","11"
"PM40462","0","780","11","61","20","Tuesday","28","11"
"PM40463","0","780","9","55","20","Tuesday","28","11"
"PM41861","0","2580","7",NA,"20","Tuesday","28","11"
"PM41454","0","600","1",NA,"20","Tuesday","28","11"
"03FL08PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"03FL08PM02",NA,NA,NA,NA,"20","Tuesday","28","11"
"03FL20PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"03FL56PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"03FT08PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"03FT52PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"04FL12PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"04FL92PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"04FT14PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"04FT74PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"04TL40PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"04TL40PM02",NA,NA,NA,NA,"20","Tuesday","28","11"
"04TL40PM03",NA,NA,NA,NA,"20","Tuesday","28","11"
"04TL40PM04",NA,NA,NA,NA,"20","Tuesday","28","11"
"05FT10PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"05FT37PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"05FT66PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"05TL00PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"05TL00PM02",NA,NA,NA,NA,"20","Tuesday","28","11"
"05TL00PM03",NA,NA,NA,NA,"20","Tuesday","28","11"
"08RE14PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"08RE66PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"08RL21PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"08RR02PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"08RR18PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"09NC51PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"09XC09PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"09XC37PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"10NC18PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"10NC76PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"10XC18PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"10XC82PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"11NC43PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"11RE20PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"11RE59PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"11RE59PM02",NA,NA,NA,NA,"20","Tuesday","28","11"
"11XC46PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"12NC07PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"12NC63PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"12XC06PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"12XC63PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"13NC25PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"13NC95PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"13NL60PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"13XC26PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"13XC97PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"13XL49PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"14NC58PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"14NC96PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"14NL24PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"14NL78PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"14RA02PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"14RA15PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"14RC10PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"14RE35PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"14RH25PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"14RL11PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"14RL30PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"14RM32PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"14RN01PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"14RN27PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"14RR28PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"14VE04PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"14XC71PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"14XL36PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"14XL89PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"15NC71PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"15NL09PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
"15NL71PM01",NA,NA,NA,NA,"20","Tuesday","28","11"
