"identif","carga.15","intensidad.15","ocupacion.15","velocidad.15","Hora","diaSemana","diaMes","Mes"
"PM10013","0","2160","12","21","20","Tuesday","28","11"
"PM10021","0","3720","13","44","20","Tuesday","28","11"
"PM10091","0","3660","9","46","20","Tuesday","28","11"
"PM10092","0","1140","4","12","20","Tuesday","28","11"
"PM10141","0","2880","7","23","20","Tuesday","28","11"
"PM10142","0","1680","6","25","20","Tuesday","28","11"
"PM10211","0","3060","6","48","20","Tuesday","28","11"
"PM10212","0","3300","8","22","20","Tuesday","28","11"
"PM10241","0","3060","7","33","20","Tuesday","28","11"
"PM10242","0","4200","8","32","20","Tuesday","28","11"
"PM10341","0","4620","25","42","20","Tuesday","28","11"
"PM10342","0","3540","33","64","20","Tuesday","28","11"
"PM10343","0","840","9","62","20","Tuesday","28","11"
"PM10344","0","180","1","60","20","Tuesday","28","11"
"PM10401","0","3480","35","58","20","Tuesday","28","11"
"PM10402","0","3660","37","75","20","Tuesday","28","11"
"PM10441","0","3780","35","70","20","Tuesday","28","11"
"PM10442","0","2400","24","67","20","Tuesday","28","11"
"PM10444","0","720","10","45","20","Tuesday","28","11"
"PM10472","0","2880","41","67","20","Tuesday","28","11"
"PM10501","0","3900","36","72","20","Tuesday","28","11"
"PM10502","0","5520","34","59","20","Tuesday","28","11"
"PM10561","0","3900","35","60","20","Tuesday","28","11"
"PM10611","0","6180","14","53","20","Tuesday","28","11"
"PM10612","0","3240","14","69","20","Tuesday","28","11"
"PM10661","0","4620","16","67","20","Tuesday","28","11"
"PM10662","0","4620","15","76","20","Tuesday","28","11"
"PM10711","0","6840","15","47","20","Tuesday","28","11"
"PM10712","0","4260","12","55","20","Tuesday","28","11"
"PM30754","0","3000","6","65","20","Tuesday","28","11"
"PM10831","0","5880","10","62","20","Tuesday","28","11"
"PM10832","0","4740","27","67","20","Tuesday","28","11"
"PM10861","0","5940","11","76","20","Tuesday","28","11"
"PM10862","0","2940","10","66","20","Tuesday","28","11"
"PM10865","0","2460","12","83","20","Tuesday","28","11"
"PM10901","0","4260","23","73","20","Tuesday","28","11"
"PM10902","0","3120","22","76","20","Tuesday","28","11"
"PM10907","0","1020","6","68","20","Tuesday","28","11"
"PM10941","0","3300","9","71","20","Tuesday","28","11"
"PM10942","0","900","2","65","20","Tuesday","28","11"
"PM10945","0","2100","29","67","20","Tuesday","28","11"
"PM10948","0","540","5","77","20","Tuesday","28","11"
"PM10981","0","5580","18","70","20","Tuesday","28","11"
"PM10982","0","1260","3","76","20","Tuesday","28","11"
"PM10985","0","300","2","72","20","Tuesday","28","11"
"PM11071","0","6000","14","81","20","Tuesday","28","11"
"PM11074","0","1200","12","72","20","Tuesday","28","11"
"PM11101","0","3900","17","85","20","Tuesday","28","11"
"PM11102","0","660","5","77","20","Tuesday","28","11"
"PM11108","0","2760","10","60","20","Tuesday","28","11"
"PM11161","0","4560","13","0","20","Tuesday","28","11"
"PM11168","0","1920","6","0","20","Tuesday","28","11"
"PM11201","0","3900","7","68","20","Tuesday","28","11"
"PM11208","0","2160","8","86","20","Tuesday","28","11"
"PM11301","0","2100","9","88","20","Tuesday","28","11"
"PM11303","0","1800","6","83","20","Tuesday","28","11"
"PM11981","0","3000","10","64","20","Tuesday","28","11"
"PM12061","0","4320","13","28","20","Tuesday","28","11"
"PM12121","0","2400","6","54","20","Tuesday","28","11"
"PM12122","0","180","1","46","20","Tuesday","28","11"
"PM12211","0","2460","6","34","20","Tuesday","28","11"
"PM12241","0","2820","7","57","20","Tuesday","28","11"
"PM12331","0","1320","3","16","20","Tuesday","28","11"
"PM12342","0","1200","4","69","20","Tuesday","28","11"
"PM12391","0","2460","5","17","20","Tuesday","28","11"
"PM12471","0","1980","3","53","20","Tuesday","28","11"
"PM12502","0","1680","5","58","20","Tuesday","28","11"
"PM12571","0","1260","0","53","20","Tuesday","28","11"
"PM12572","0","1500","0","66","20","Tuesday","28","11"
"PM12622","0","1080","14","55","20","Tuesday","28","11"
"PM12641","0","2220","8","60","20","Tuesday","28","11"
"PM12721","0","2220","3","63","20","Tuesday","28","11"
"PM12781","0","1800","5","85","20","Tuesday","28","11"
"PM12851","0","1740","9","68","20","Tuesday","28","11"
"PM12921","0","720","7","91","20","Tuesday","28","11"
"PM12961","0","3240","11","63","20","Tuesday","28","11"
"PM12981","0","1260","4","67","20","Tuesday","28","11"
"PM13011","0","480","8","70","20","Tuesday","28","11"
"PM13014","0","180","1","61","20","Tuesday","28","11"
"PM13041","0","540","38","79","20","Tuesday","28","11"
"PM13044","0","360","3","62","20","Tuesday","28","11"
"PM13101","0","840","42","84","20","Tuesday","28","11"
"PM13103","0","2340","13","73","20","Tuesday","28","11"
"PM13104","0","360","4","60","20","Tuesday","28","11"
