"identif","carga.15","intensidad.15","ocupacion.15","velocidad.15","Hora","diaSemana","diaMes","Mes"
"PM10013","0","1500","7","18","21","Tuesday","28","11"
"PM10021","0","4800","15","41","21","Tuesday","28","11"
"PM10091","0","5160","15","25","21","Tuesday","28","11"
"PM10092","0","780","2","15","21","Tuesday","28","11"
"PM10141","0","2940","6","26","21","Tuesday","28","11"
"PM10142","0","2160","8","22","21","Tuesday","28","11"
"PM10211","0","2940","6","40","21","Tuesday","28","11"
"PM10212","0","3060","8","32","21","Tuesday","28","11"
"PM10241","0","3120","7","31","21","Tuesday","28","11"
"PM10242","0","4560","8","0","21","Tuesday","28","11"
"PM10341","0","4380","14","0","21","Tuesday","28","11"
"PM10342","0","3780","11","67","21","Tuesday","28","11"
"PM10343","0","540","6","64","21","Tuesday","28","11"
"PM10344","0","300","3","71","21","Tuesday","28","11"
"PM10401","0","4740","34","64","21","Tuesday","28","11"
"PM10402","0","3600","30","79","21","Tuesday","28","11"
"PM10441","0","3780","32","73","21","Tuesday","28","11"
"PM10442","0","2040","31","68","21","Tuesday","28","11"
"PM10444","0","1200","27","48","21","Tuesday","28","11"
"PM10472","0","3000","36","71","21","Tuesday","28","11"
"PM10501","0","4020","25","83","21","Tuesday","28","11"
"PM10502","0","5760","27","60","21","Tuesday","28","11"
"PM10561","0","3600","0","63","21","Tuesday","28","11"
"PM10611","0","5820","13","50","21","Tuesday","28","11"
"PM10612","0","2940","13","65","21","Tuesday","28","11"
"PM10661","0","4920","14","75","21","Tuesday","28","11"
"PM10662","0","4320","12","74","21","Tuesday","28","11"
"PM10711","0","6600","14","55","21","Tuesday","28","11"
"PM10712","0","3540","9","55","21","Tuesday","28","11"
"PM30754","0","1440","3","67","21","Tuesday","28","11"
"PM10831","0","5220","7","64","21","Tuesday","28","11"
"PM10832","0","6120","13","65","21","Tuesday","28","11"
"PM10861","0","4620","7","81","21","Tuesday","28","11"
"PM10862","0","3540","11","64","21","Tuesday","28","11"
"PM10865","0","2580","11","82","21","Tuesday","28","11"
"PM10901","0","3900","21","70","21","Tuesday","28","11"
"PM10902","0","3300","29","79","21","Tuesday","28","11"
"PM10907","0","660","4","66","21","Tuesday","28","11"
"PM10941","0","4260","10","81","21","Tuesday","28","11"
"PM10942","0","840","3","58","21","Tuesday","28","11"
