"identif","carga.15","intensidad.15","ocupacion.15","velocidad.15","Hora","diaSemana","diaMes","Mes"
"PM10013","0","360","1","79","01","Wednesday","29","11"
"PM10021","0","120","0","0","01","Wednesday","29","11"
"PM10091","0","240","0","0","01","Wednesday","29","11"
"PM10092","0","120","0","42","01","Wednesday","29","11"
"PM10141","0","180","0","91","01","Wednesday","29","11"
"PM10142","0","240","0","75","01","Wednesday","29","11"
"PM10211","0","360","1","0","01","Wednesday","29","11"
"PM10212","0","180","0","89","01","Wednesday","29","11"
"PM10241","0","360","1","78","01","Wednesday","29","11"
"PM10242","0","720","0","89","01","Wednesday","29","11"
"PM10341","0","420","0","80","01","Wednesday","29","11"
"PM10342","0","660","1","93","01","Wednesday","29","11"
"PM10343","0","300","2","86","01","Wednesday","29","11"
"PM10344","0","180","1","87","01","Wednesday","29","11"
"PM10401","0","840","1","88","01","Wednesday","29","11"
"PM10402","0","600","0","89","01","Wednesday","29","11"
"PM10441","0","840","2","85","01","Wednesday","29","11"
"PM10442","0","540","1","61","01","Wednesday","29","11"
"PM10444","0","0","0","42","01","Wednesday","29","11"
"PM10472","0","960","1","87","01","Wednesday","29","11"
"PM10501","0","960","2","98","01","Wednesday","29","11"
"PM10502","0","1260","1","75","01","Wednesday","29","11"
"PM10561","0","660","2","77","01","Wednesday","29","11"
"PM10611","0","840","1","78","01","Wednesday","29","11"
"PM10612","0","360","0","0","01","Wednesday","29","11"
"PM10661","0","1020","2","93","01","Wednesday","29","11"
"PM10662","0","600","1","73","01","Wednesday","29","11"
"PM10711","0","1140","2","73","01","Wednesday","29","11"
"PM10712","0","780","1","0","01","Wednesday","29","11"
"PM30754","0","900","1","66","01","Wednesday","29","11"
"PM10831","0","720","1","82","01","Wednesday","29","11"
"PM10832","0","1200","1","74","01","Wednesday","29","11"
"PM10861","0","720","1","89","01","Wednesday","29","11"
"PM10862","0","1080","2","87","01","Wednesday","29","11"
"PM10865","0","480","1","92","01","Wednesday","29","11"
"PM10901","0","660","2","81","01","Wednesday","29","11"
"PM10902","0","720","3","81","01","Wednesday","29","11"
"PM10907","0","0","0","89","01","Wednesday","29","11"
"PM10941","0","720","2","71","01","Wednesday","29","11"
"PM10942","0","180","0","67","01","Wednesday","29","11"
"PM10945","0","240","1","70","01","Wednesday","29","11"
"PM10948","0","0","0","0","01","Wednesday","29","11"
"PM10981","0","780","1","0","01","Wednesday","29","11"
"PM10982","0","240","0","117","01","Wednesday","29","11"
"PM10985","0","60","0","87","01","Wednesday","29","11"
"PM11071","0","1200","1","85","01","Wednesday","29","11"
"PM11074","0","120","1","78","01","Wednesday","29","11"
"PM11101","0","720","2","88","01","Wednesday","29","11"
"PM11102","0","120","1","90","01","Wednesday","29","11"
"PM11108","0","360","0","0","01","Wednesday","29","11"
"PM11161","0","1140","2","73","01","Wednesday","29","11"
"PM11168","0","420","1","63","01","Wednesday","29","11"
"PM11201","0","780","1","75","01","Wednesday","29","11"
"PM11208","0","600","3","88","01","Wednesday","29","11"
"PM11301","0","360","0","82","01","Wednesday","29","11"
"PM11303","0","180","0","83","01","Wednesday","29","11"
"PM11981","0","240","1","84","01","Wednesday","29","11"
"PM12061","0","360","1","59","01","Wednesday","29","11"
"PM12121","0","0","0","47","01","Wednesday","29","11"
"PM12122","0","0","0","0","01","Wednesday","29","11"
"PM12211","0","60","0","69","01","Wednesday","29","11"
"PM12241","0","180","0","0","01","Wednesday","29","11"
"PM12331","0","240","0","77","01","Wednesday","29","11"
"PM12342","0","120","0","0","01","Wednesday","29","11"
"PM12391","0","180","0","76","01","Wednesday","29","11"
"PM12471","0","120","0","83","01","Wednesday","29","11"
"PM12502","0","0","0","0","01","Wednesday","29","11"
