"identif","carga.15","intensidad.15","ocupacion.15","velocidad.15","Hora","diaSemana","diaMes","Mes"
"PM10013","0","1680","6","71","22","Tuesday","28","11"
"PM10021","0","3480","9","41","22","Tuesday","28","11"
"PM10091","0","4320","11","74","22","Tuesday","28","11"
"PM10092","0","360","1","37","22","Tuesday","28","11"
"PM10141","0","3480","8","87","22","Tuesday","28","11"
"PM10142","0","1080","3","66","22","Tuesday","28","11"
"PM10211","0","3000","6","50","22","Tuesday","28","11"
"PM10212","0","2220","4","80","22","Tuesday","28","11"
"PM10241","0","3000","6","74","22","Tuesday","28","11"
"PM10242","0","2220","3","71","22","Tuesday","28","11"
"PM10341","0","3600","8","70","22","Tuesday","28","11"
"PM10342","0","2640","6","82","22","Tuesday","28","11"
"PM10343","0","420","3","71","22","Tuesday","28","11"
"PM10344","0","240","2","79","22","Tuesday","28","11"
"PM10401","0","3000","4","71","22","Tuesday","28","11"
"PM10402","0","3420","6","86","22","Tuesday","28","11"
"PM10441","0","2280","5","82","22","Tuesday","28","11"
"PM10442","0","2580","12","78","22","Tuesday","28","11"
"PM10444","0","720","6","49","22","Tuesday","28","11"
"PM10472","0","4500","9","82","22","Tuesday","28","11"
"PM10501","0","3600","9","89","22","Tuesday","28","11"
"PM10502","0","4800","7","69","22","Tuesday","28","11"
"PM10561","0","3600","16","68","22","Tuesday","28","11"
"PM10611","0","5100","10","67","22","Tuesday","28","11"
"PM10612","0","3060","11","71","22","Tuesday","28","11"
"PM10661","0","4200","11","84","22","Tuesday","28","11"
"PM10662","0","3720","8","76","22","Tuesday","28","11"
"PM10711","0","5220","10","61","22","Tuesday","28","11"
"PM10712","0","3180","7","59","22","Tuesday","28","11"
"PM30754","0","3540","9","70","22","Tuesday","28","11"
"PM10831","0","4020","5","74","22","Tuesday","28","11"
"PM10832","0","4440","7","69","22","Tuesday","28","11"
"PM10861","0","4020","6","88","22","Tuesday","28","11"
"PM10862","0","2400","6","80","22","Tuesday","28","11"
"PM10865","0","1980","7","87","22","Tuesday","28","11"
"PM10901","0","3360","16","80","22","Tuesday","28","11"
"PM10902","0","2460","12","86","22","Tuesday","28","11"
"PM10907","0","420","2","75","22","Tuesday","28","11"
"PM10941","0","3300","7","77","22","Tuesday","28","11"
"PM10942","0","780","2","66","22","Tuesday","28","11"
"PM10945","0","1680","14","71","22","Tuesday","28","11"
"PM10948","0","600","5","81","22","Tuesday","28","11"
"PM10981","0","4500","11","69","22","Tuesday","28","11"
"PM10982","0","780","2","78","22","Tuesday","28","11"
"PM10985","0","360","3","79","22","Tuesday","28","11"
"PM11071","0","5400","9","86","22","Tuesday","28","11"
"PM11074","0","840","10","81","22","Tuesday","28","11"
"PM11101","0","2520","9","85","22","Tuesday","28","11"
"PM11102","0","540","4","87","22","Tuesday","28","11"
"PM11108","0","2580","8","66","22","Tuesday","28","11"
"PM11161","0","2820","6","0","22","Tuesday","28","11"
"PM11168","0","2160","6","0","22","Tuesday","28","11"
"PM11201","0","3180","5","80","22","Tuesday","28","11"
"PM11208","0","1860","6","84","22","Tuesday","28","11"
"PM11301","0","1380","4","84","22","Tuesday","28","11"
"PM11303","0","900","2","82","22","Tuesday","28","11"
"PM11981","0","900","3","78","22","Tuesday","28","11"
"PM12061","0","1500","3","54","22","Tuesday","28","11"
"PM12121","0","1320","2","52","22","Tuesday","28","11"
"PM12122","0","360","3","51","22","Tuesday","28","11"
"PM12211","0","1500","3","60","22","Tuesday","28","11"
"PM12241","0","1560","3","57","22","Tuesday","28","11"
"PM12331","0","720","1","66","22","Tuesday","28","11"
"PM12342","0","600","1","71","22","Tuesday","28","11"
"PM12391","0","1260","2","68","22","Tuesday","28","11"
"PM12471","0","1140","1","79","22","Tuesday","28","11"
"PM12502","0","900","2","46","22","Tuesday","28","11"
"PM12571","0","420","0","65","22","Tuesday","28","11"
"PM12572","0","300","0","72","22","Tuesday","28","11"
"PM12622","0","120","1","56","22","Tuesday","28","11"
"PM12641","0","660","2","65","22","Tuesday","28","11"
"PM12721","0","840","1","60","22","Tuesday","28","11"
"PM12781","0","1080","2","93","22","Tuesday","28","11"
"PM12851","0","1080","4","83","22","Tuesday","28","11"
"PM12921","0","840","14","99","22","Tuesday","28","11"
"PM12961","0","1500","5","73","22","Tuesday","28","11"
"PM12981","0","1200","3","79","22","Tuesday","28","11"
"PM13011","0","480","1","87","22","Tuesday","28","11"
"PM13014","0","180","1","82","22","Tuesday","28","11"
"PM13041","0","720","5","89","22","Tuesday","28","11"
"PM13044","0","120","1","73","22","Tuesday","28","11"
"PM13101","0","1020","7","88","22","Tuesday","28","11"
"PM13103","0","1320","8","75","22","Tuesday","28","11"
"PM13104","0","180","1","76","22","Tuesday","28","11"
"PM13181","0","1260","5","90","22","Tuesday","28","11"
"PM13202","0","2340","7","79","22","Tuesday","28","11"
"PM13212","0","1080","6","84","22","Tuesday","28","11"
"PM13221","0","600","4","83","22","Tuesday","28","11"
"PM13222","0","420","3","76","22","Tuesday","28","11"
"PM20021","0","960","1","83","22","Tuesday","28","11"
"PM20025","0","780","5","77","22","Tuesday","28","11"
"PM20026","0","1500","5","84","22","Tuesday","28","11"
"PM20041","0","1920","4","80","22","Tuesday","28","11"
"PM20042","0","900","2","76","22","Tuesday","28","11"
"PM20151","0","2760","4","83","22","Tuesday","28","11"
"PM20152","0","240","2","78","22","Tuesday","28","11"
"PM20231","0","2100","5","87","22","Tuesday","28","11"
"PM20232","0","1620","4","79","22","Tuesday","28","11"
"PM20233","0","1320","11","72","22","Tuesday","28","11"
"PM20261","0","2040","4","87","22","Tuesday","28","11"
"PM20262","0","2820","5","74","22","Tuesday","28","11"
"PM20321","0","2040","4","71","22","Tuesday","28","11"
"PM20322","0","2040","4","60","22","Tuesday","28","11"
"PM20327","0","360","1","55","22","Tuesday","28","11"
"PM20411","0","2880","4","52","22","Tuesday","28","11"
"PM20412","0","2280","6","79","22","Tuesday","28","11"
"PM20441","0","2400","3","74","22","Tuesday","28","11"
"PM20442","0","1500","6","68","22","Tuesday","28","11"
"PM20471","0","1440","2","83","22","Tuesday","28","11"
"PM20472","0","600","1","77","22","Tuesday","28","11"
"PM20473","0","480","3","70","22","Tuesday","28","11"
"PM20571","0","1380","2","72","22","Tuesday","28","11"
"PM20572","0","2880","4","81","22","Tuesday","28","11"
"PM20661","0","1740","3","74","22","Tuesday","28","11"
"PM20662","0","1680","5","77","22","Tuesday","28","11"
"PM20664","0","660","5","72","22","Tuesday","28","11"
"PM20721","0","1920","3","83","22","Tuesday","28","11"
"PM20722","0","1860","37","69","22","Tuesday","28","11"
"PM20742","0","2460","7","74","22","Tuesday","28","11"
"PM207731","0","1380","6","84","22","Tuesday","28","11"
"PM20831","0","1440","3","60","22","Tuesday","28","11"
"PM20832","0","1620","6","88","22","Tuesday","28","11"
"PM20834","0","840","7","65","22","Tuesday","28","11"
"PM20851","0","1680","2","72","22","Tuesday","28","11"
"PM20852","0","3780","6","74","22","Tuesday","28","11"
"PM20854","0","360","2","72","22","Tuesday","28","11"
"PM20873","0","780","3","78","22","Tuesday","28","11"
"PM20911","0","1860","4","72","22","Tuesday","28","11"
"PM20912","0","2160","8","61","22","Tuesday","28","11"
"PM20913","0","300","1","83","22","Tuesday","28","11"
"PM20971","0","2340","5","87","22","Tuesday","28","11"
"PM20972","0","1020","4","81","22","Tuesday","28","11"
"PM20976","0","1500","11","83","22","Tuesday","28","11"
"PM21081","0","2340","6","83","22","Tuesday","28","11"
"PM21148","0","300","0","91","22","Tuesday","28","11"
"PM21181","0","1560","3","69","22","Tuesday","28","11"
"PM21185","0","360","3","91","22","Tuesday","28","11"
"PM21188","0","120","0","79","22","Tuesday","28","11"
"PM21192","0","840","3","68","22","Tuesday","28","11"
"PM21193","0","720","1","80","22","Tuesday","28","11"
