"identif","carga.15","intensidad.15","ocupacion.15","velocidad.15","Hora","diaSemana","diaMes","Mes"
"PM10013","0","420","1","78","23","Tuesday","28","11"
"PM10021","0","2160","5","51","23","Tuesday","28","11"
"PM10091","0","2400","5","73","23","Tuesday","28","11"
"PM10092","0","120","0","42","23","Tuesday","28","11"
"PM10141","0","1380","3","89","23","Tuesday","28","11"
"PM10142","0","480","1","74","23","Tuesday","28","11"
"PM10211","0","1500","3","48","23","Tuesday","28","11"
"PM10212","0","900","1","88","23","Tuesday","28","11"
"PM10241","0","1800","3","81","23","Tuesday","28","11"
"PM10242","0","1200","1","91","23","Tuesday","28","11"
"PM10341","0","2460","5","82","23","Tuesday","28","11"
"PM10342","0","1440","3","93","23","Tuesday","28","11"
"PM10343","0","180","1","87","23","Tuesday","28","11"
"PM10344","0","120","0","84","23","Tuesday","28","11"
"PM10401","0","1800","2","82","23","Tuesday","28","11"
"PM10402","0","2460","4","96","23","Tuesday","28","11"
"PM10441","0","1560","3","86","23","Tuesday","28","11"
"PM10442","0","1860","7","76","23","Tuesday","28","11"
"PM10444","0","300","2","49","23","Tuesday","28","11"
"PM10472","0","2640","4","81","23","Tuesday","28","11"
"PM10501","0","1200","2","93","23","Tuesday","28","11"
"PM10502","0","3780","5","76","23","Tuesday","28","11"
"PM10561","0","1020","3","71","23","Tuesday","28","11"
"PM10611","0","1980","2","79","23","Tuesday","28","11"
"PM10612","0","1260","3","74","23","Tuesday","28","11"
"PM10661","0","2820","7","89","23","Tuesday","28","11"
"PM10662","0","1080","2","78","23","Tuesday","28","11"
"PM10711","0","3240","6","71","23","Tuesday","28","11"
"PM10712","0","1200","2","55","23","Tuesday","28","11"
"PM30754","0","1500","3","71","23","Tuesday","28","11"
"PM10831","0","2640","3","80","23","Tuesday","28","11"
"PM10832","0","2400","4","72","23","Tuesday","28","11"
"PM10861","0","2220","3","105","23","Tuesday","28","11"
"PM10862","0","1560","4","82","23","Tuesday","28","11"
"PM10865","0","660","2","100","23","Tuesday","28","11"
"PM10901","0","1560","6","79","23","Tuesday","28","11"
"PM10902","0","1140","5","84","23","Tuesday","28","11"
"PM10907","0","420","2","79","23","Tuesday","28","11"
"PM10941","0","1380","2","82","23","Tuesday","28","11"
"PM10942","0","180","0","68","23","Tuesday","28","11"
"PM10945","0","1140","9","74","23","Tuesday","28","11"
"PM10948","0","300","3","76","23","Tuesday","28","11"
"PM10981","0","2220","4","76","23","Tuesday","28","11"
"PM10982","0","240","0","91","23","Tuesday","28","11"
"PM10985","0","120","1","85","23","Tuesday","28","11"
"PM11071","0","2400","4","91","23","Tuesday","28","11"
"PM11074","0","180","1","79","23","Tuesday","28","11"
"PM11101","0","1500","5","92","23","Tuesday","28","11"
"PM11102","0","300","2","88","23","Tuesday","28","11"
"PM11108","0","900","2","77","23","Tuesday","28","11"
"PM11161","0","2220","5","77","23","Tuesday","28","11"
"PM11168","0","900","2","78","23","Tuesday","28","11"
