"identif","carga.15","intensidad.15","ocupacion.15","velocidad.15","Hora","diaSemana","diaMes","Mes"
"PM10013","0","960","4","0","23","Tuesday","28","11"
"PM10021","0","1860","4","0","23","Tuesday","28","11"
"PM10091","0","1560","2","0","23","Tuesday","28","11"
"PM10092","0","60","0","0","23","Tuesday","28","11"
"PM10141","0","780","1","86","23","Tuesday","28","11"
"PM10142","0","540","1","74","23","Tuesday","28","11"
"PM10211","0","1500","2","0","23","Tuesday","28","11"
"PM10212","0","1020","2","85","23","Tuesday","28","11"
"PM10241","0","900","1","76","23","Tuesday","28","11"
"PM10242","0","1740","2","87","23","Tuesday","28","11"
"PM10341","0","1740","0","79","23","Tuesday","28","11"
"PM10342","0","1020","0","89","23","Tuesday","28","11"
"PM10343","0","0","0","83","23","Tuesday","28","11"
"PM10344","0","180","0","85","23","Tuesday","28","11"
"PM10401","0","1980","3","83","23","Tuesday","28","11"
"PM10402","0","1440","2","94","23","Tuesday","28","11"
"PM10441","0","1080","0","87","23","Tuesday","28","11"
"PM10442","0","840","0","85","23","Tuesday","28","11"
"PM10444","0","360","0","50","23","Tuesday","28","11"
"PM10472","0","2280","4","85","23","Tuesday","28","11"
"PM10501","0","1740","3","96","23","Tuesday","28","11"
"PM10502","0","2820","4","69","23","Tuesday","28","11"
"PM10561","0","960","3","72","23","Tuesday","28","11"
"PM10611","0","1740","2","71","23","Tuesday","28","11"
"PM10612","0","960","2","73","23","Tuesday","28","11"
"PM10661","0","1980","4","92","23","Tuesday","28","11"
"PM10662","0","1500","4","86","23","Tuesday","28","11"
"PM10711","0","2460","4","71","23","Tuesday","28","11"
"PM10712","0","2040","4","61","23","Tuesday","28","11"
"PM30754","0","780","1","77","23","Tuesday","28","11"
"PM10831","0","1800","2","76","23","Tuesday","28","11"
"PM10832","0","2340","4","70","23","Tuesday","28","11"
"PM10861","0","2160","2","90","23","Tuesday","28","11"
"PM10862","0","1800","5","83","23","Tuesday","28","11"
"PM10865","0","960","3","92","23","Tuesday","28","11"
"PM10901","0","1860","6","79","23","Tuesday","28","11"
"PM10902","0","1800","8","82","23","Tuesday","28","11"
"PM10907","0","300","2","77","23","Tuesday","28","11"
"PM10941","0","1560","3","83","23","Tuesday","28","11"
"PM10942","0","300","0","66","23","Tuesday","28","11"
"PM10945","0","600","4","74","23","Tuesday","28","11"
"PM10948","0","60","0","77","23","Tuesday","28","11"
"PM10981","0","1440","3","88","23","Tuesday","28","11"
"PM10982","0","360","0","91","23","Tuesday","28","11"
"PM10985","0","120","0","92","23","Tuesday","28","11"
"PM11071","0","2220","3","87","23","Tuesday","28","11"
"PM11074","0","120","1","77","23","Tuesday","28","11"
"PM11101","0","1140","4","93","23","Tuesday","28","11"
"PM11102","0","540","4","89","23","Tuesday","28","11"
"PM11108","0","1080","3","73","23","Tuesday","28","11"
"PM11161","0","1800","3","81","23","Tuesday","28","11"
"PM11168","0","1140","4","72","23","Tuesday","28","11"
"PM11201","0","1380","2","81","23","Tuesday","28","11"
"PM11208","0","1080","3","92","23","Tuesday","28","11"
"PM11301","0","960","3","89","23","Tuesday","28","11"
"PM11303","0","480","1","87","23","Tuesday","28","11"
"PM11981","0","780","3","74","23","Tuesday","28","11"
"PM12061","0","1260","2","56","23","Tuesday","28","11"
"PM12121","0","1080","2","56","23","Tuesday","28","11"
"PM12122","0","300","2","42","23","Tuesday","28","11"
"PM12211","0","660","1","51","23","Tuesday","28","11"
"PM12241","0","780","1","54","23","Tuesday","28","11"
"PM12331","0","240","0","64","23","Tuesday","28","11"
"PM12342","0","900","3","64","23","Tuesday","28","11"
"PM12391","0","1260","2","70","23","Tuesday","28","11"
"PM12471","0","720","0","84","23","Tuesday","28","11"
"PM12502","0","540","1","71","23","Tuesday","28","11"
"PM12571","0","360","0","74","23","Tuesday","28","11"
"PM12572","0","240","1","80","23","Tuesday","28","11"
"PM12622","0","180","2","64","23","Tuesday","28","11"
"PM12641","0","480","1","71","23","Tuesday","28","11"
"PM12721","0","600","0","56","23","Tuesday","28","11"
"PM12781","0","720","1","96","23","Tuesday","28","11"
"PM12851","0","360","1","66","23","Tuesday","28","11"
"PM12921","0","240","2","96","23","Tuesday","28","11"
"PM12961","0","540","1","76","23","Tuesday","28","11"
"PM12981","0","240","0","85","23","Tuesday","28","11"
"PM13011","0","360","1","86","23","Tuesday","28","11"
"PM13014","0","180","1","82","23","Tuesday","28","11"
"PM13041","0","60","0","91","23","Tuesday","28","11"
"PM13044","0","120","1","62","23","Tuesday","28","11"
"PM13101","0","60","1","91","23","Tuesday","28","11"
"PM13103","0","900","2","85","23","Tuesday","28","11"
"PM13104","0","60","0","77","23","Tuesday","28","11"
"PM13181","0","780","2","91","23","Tuesday","28","11"
"PM13202","0","1080","4","87","23","Tuesday","28","11"
"PM13212","0","660","2","86","23","Tuesday","28","11"
"PM13221","0","540","3","86","23","Tuesday","28","11"
"PM13222","0","240","3","81","23","Tuesday","28","11"
"PM20021","0","1380","2","84","23","Tuesday","28","11"
"PM20025","0","360","2","79","23","Tuesday","28","11"
"PM20026","0","960","2","84","23","Tuesday","28","11"
"PM20041","0","1860","4","80","23","Tuesday","28","11"
"PM20042","0","480","1","62","23","Tuesday","28","11"
"PM20151","0","1560","2","85","23","Tuesday","28","11"
"PM20152","0","120","1","77","23","Tuesday","28","11"
"PM20231","0","900","1","89","23","Tuesday","28","11"
"PM20232","0","1260","2","82","23","Tuesday","28","11"
"PM20233","0","780","6","89","23","Tuesday","28","11"
"PM20261","0","1080","1","86","23","Tuesday","28","11"
"PM20262","0","1680","2","78","23","Tuesday","28","11"
"PM20321","0","660","1","73","23","Tuesday","28","11"
"PM20322","0","1200","2","67","23","Tuesday","28","11"
"PM20327","0","360","1","54","23","Tuesday","28","11"
"PM20411","0","1440","2","56","23","Tuesday","28","11"
"PM20412","0","1320","2","80","23","Tuesday","28","11"
"PM20441","0","1740","2","76","23","Tuesday","28","11"
"PM20442","0","900","3","70","23","Tuesday","28","11"
"PM20471","0","1260","2","88","23","Tuesday","28","11"
"PM20472","0","660","1","79","23","Tuesday","28","11"
"PM20473","0","780","7","65","23","Tuesday","28","11"
"PM20571","0","1020","1","68","23","Tuesday","28","11"
"PM20572","0","2400","4","78","23","Tuesday","28","11"
"PM20661","0","1140","2","78","23","Tuesday","28","11"
"PM20662","0","1080","4","87","23","Tuesday","28","11"
"PM20664","0","420","2","68","23","Tuesday","28","11"
"PM20721","0","2400","4","83","23","Tuesday","28","11"
"PM20722","0","1800","4","67","23","Tuesday","28","11"
"PM20742","0","1260","3","69","23","Tuesday","28","11"
"PM207731","0","480","1","74","23","Tuesday","28","11"
"PM20831","0","1260","3","73","23","Tuesday","28","11"
"PM20832","0","1080","4","78","23","Tuesday","28","11"
"PM20834","0","660","5","69","23","Tuesday","28","11"
"PM20851","0","720","1","75","23","Tuesday","28","11"
"PM20852","0","1740","3","78","23","Tuesday","28","11"
"PM20854","0","180","1","64","23","Tuesday","28","11"
"PM20873","0","420","1","74","23","Tuesday","28","11"
"PM20911","0","960","2","85","23","Tuesday","28","11"
"PM20912","0","780","2","63","23","Tuesday","28","11"
"PM20913","0","420","1","81","23","Tuesday","28","11"
