"identif","carga.15","intensidad.15","ocupacion.15","velocidad.15","Hora","diaSemana","diaMes","Mes"
"PM10013","0","1860","8","68","21","Tuesday","28","11"
"PM10021","0","3180","8","51","21","Tuesday","28","11"
"PM10091","0","4320","10","65","21","Tuesday","28","11"
"PM10092","0","240","0","38","21","Tuesday","28","11"
"PM10141","0","2880","7","73","21","Tuesday","28","11"
"PM10142","0","2400","10","60","21","Tuesday","28","11"
"PM10211","0","2760","6","49","21","Tuesday","28","11"
"PM10212","0","4200","10","57","21","Tuesday","28","11"
"PM10241","0","3180","6","43","21","Tuesday","28","11"
"PM10242","0","4620","9","40","21","Tuesday","28","11"
"PM10341","0","4080","10","47","21","Tuesday","28","11"
"PM10342","0","3840","11","70","21","Tuesday","28","11"
"PM10343","0","780","6","64","21","Tuesday","28","11"
"PM10344","0","480","3","74","21","Tuesday","28","11"
"PM10401","0","4020","7","62","21","Tuesday","28","11"
"PM10402","0","3120","6","84","21","Tuesday","28","11"
"PM10441","0","3780","10","70","21","Tuesday","28","11"
"PM10442","0","2340","10","67","21","Tuesday","28","11"
"PM10444","0","660","6","48","21","Tuesday","28","11"
"PM10472","0","3720","10","73","21","Tuesday","28","11"
"PM10501","0","3840","15","80","21","Tuesday","28","11"
"PM10502","0","6240","18","72","21","Tuesday","28","11"
"PM10561","0","3660","28","69","21","Tuesday","28","11"
"PM10611","0","5520","12","69","21","Tuesday","28","11"
"PM10612","0","2520","12","67","21","Tuesday","28","11"
"PM10661","0","4560","12","77","21","Tuesday","28","11"
"PM10662","0","3840","11","75","21","Tuesday","28","11"
"PM10711","0","5520","11","64","21","Tuesday","28","11"
"PM10712","0","4320","12","51","21","Tuesday","28","11"
"PM30754","0","3300","7","65","21","Tuesday","28","11"
"PM10831","0","5700","8","70","21","Tuesday","28","11"
"PM10832","0","4860","9","73","21","Tuesday","28","11"
"PM10861","0","5280","8","86","21","Tuesday","28","11"
"PM10862","0","2700","7","71","21","Tuesday","28","11"
"PM10865","0","1980","7","81","21","Tuesday","28","11"
"PM10901","0","4440","23","70","21","Tuesday","28","11"
"PM10902","0","2220","10","76","21","Tuesday","28","11"
"PM10907","0","600","4","70","21","Tuesday","28","11"
"PM10941","0","4320","10","76","21","Tuesday","28","11"
"PM10942","0","240","0","57","21","Tuesday","28","11"
"PM10945","0","1380","13","71","21","Tuesday","28","11"
"PM10948","0","720","8","78","21","Tuesday","28","11"
"PM10981","0","4740","12","59","21","Tuesday","28","11"
"PM10982","0","840","2","80","21","Tuesday","28","11"
"PM10985","0","480","3","79","21","Tuesday","28","11"
"PM11071","0","6180","12","86","21","Tuesday","28","11"
