"identif","carga.15","intensidad.15","ocupacion.15","velocidad.15","Hora","diaSemana","diaMes","Mes"
"PM10013","0","840","3","86","23","Tuesday","28","11"
"PM10021","0","1020","2","52","23","Tuesday","28","11"
"PM10091","0","1440","2","71","23","Tuesday","28","11"
"PM10092","0","60","0","40","23","Tuesday","28","11"
"PM10141","0","1080","2","92","23","Tuesday","28","11"
"PM10142","0","420","1","72","23","Tuesday","28","11"
"PM10211","0","1320","2","49","23","Tuesday","28","11"
"PM10212","0","540","1","93","23","Tuesday","28","11"
"PM10241","0","1500","2","83","23","Tuesday","28","11"
"PM10242","0","1080","1","90","23","Tuesday","28","11"
"PM10341","0","1380","3","83","23","Tuesday","28","11"
"PM10342","0","840","1","91","23","Tuesday","28","11"
"PM10343","0","180","1","82","23","Tuesday","28","11"
"PM10344","0","300","2","85","23","Tuesday","28","11"
"PM10401","0","1740","2","79","23","Tuesday","28","11"
"PM10402","0","1500","2","91","23","Tuesday","28","11"
"PM10441","0","1800","4","80","23","Tuesday","28","11"
"PM10442","0","1140","3","70","23","Tuesday","28","11"
"PM10444","0","180","2","46","23","Tuesday","28","11"
"PM10472","0","1980","3","80","23","Tuesday","28","11"
"PM10501","0","2040","3","92","23","Tuesday","28","11"
"PM10502","0","2100","2","80","23","Tuesday","28","11"
"PM10561","0","1200","4","75","23","Tuesday","28","11"
"PM10611","0","1740","3","81","23","Tuesday","28","11"
"PM10612","0","1200","3","72","23","Tuesday","28","11"
"PM10661","0","2520","5","89","23","Tuesday","28","11"
"PM10662","0","1980","4","73","23","Tuesday","28","11"
"PM10711","0","2760","5","78","23","Tuesday","28","11"
"PM10712","0","1560","3","0","23","Tuesday","28","11"
"PM30754","0","1860","3","70","23","Tuesday","28","11"
"PM10831","0","1620","1","82","23","Tuesday","28","11"
"PM10832","0","2100","3","73","23","Tuesday","28","11"
"PM10861","0","1680","2","91","23","Tuesday","28","11"
"PM10862","0","1140","2","86","23","Tuesday","28","11"
"PM10865","0","840","3","93","23","Tuesday","28","11"
"PM10901","0","1440","6","80","23","Tuesday","28","11"
"PM10902","0","900","3","85","23","Tuesday","28","11"
"PM10907","0","360","2","78","23","Tuesday","28","11"
"PM10941","0","1500","2","82","23","Tuesday","28","11"
"PM10942","0","180","0","64","23","Tuesday","28","11"
"PM10945","0","660","4","66","23","Tuesday","28","11"
"PM10948","0","0","0","79","23","Tuesday","28","11"
"PM10981","0","2100","4","75","23","Tuesday","28","11"
"PM10982","0","600","1","88","23","Tuesday","28","11"
"PM10985","0","60","0","87","23","Tuesday","28","11"
"PM11071","0","2340","4","85","23","Tuesday","28","11"
"PM11074","0","420","3","71","23","Tuesday","28","11"
"PM11101","0","1200","4","95","23","Tuesday","28","11"
"PM11102","0","120","0","84","23","Tuesday","28","11"
"PM11108","0","960","2","71","23","Tuesday","28","11"
"PM11161","0","1920","3","0","23","Tuesday","28","11"
"PM11168","0","900","2","0","23","Tuesday","28","11"
"PM11201","0","2640","4","78","23","Tuesday","28","11"
"PM11208","0","1380","5","84","23","Tuesday","28","11"
"PM11301","0","1320","4","86","23","Tuesday","28","11"
"PM11303","0","360","0","83","23","Tuesday","28","11"
"PM11981","0","840","2","72","23","Tuesday","28","11"
"PM12061","0","1140","3","51","23","Tuesday","28","11"
"PM12121","0","420","0","52","23","Tuesday","28","11"
"PM12122","0","240","1","53","23","Tuesday","28","11"
"PM12211","0","840","1","48","23","Tuesday","28","11"
"PM12241","0","780","1","51","23","Tuesday","28","11"
"PM12331","0","480","1","70","23","Tuesday","28","11"
"PM12342","0","60","0","72","23","Tuesday","28","11"
"PM12391","0","240","0","78","23","Tuesday","28","11"
"PM12471","0","780","25","72","23","Tuesday","28","11"
"PM12502","0","240","1","62","23","Tuesday","28","11"
"PM12571","0","240","0","70","23","Tuesday","28","11"
"PM12572","0","300","0","81","23","Tuesday","28","11"
