"identif","carga.15","intensidad.15","ocupacion.15","velocidad.15","Hora","diaSemana","diaMes","Mes"
"PM10013","0","900","42","16","20","Tuesday","28","11"
"PM10021","0","3240","35","42","20","Tuesday","28","11"
"PM10091","0","4800","23","20","20","Tuesday","28","11"
"PM10092","0","1080","4","13","20","Tuesday","28","11"
"PM10141","0","3240","18","20","20","Tuesday","28","11"
"PM10142","0","2160","10","23","20","Tuesday","28","11"
"PM10211","0","2340","36","45","20","Tuesday","28","11"
"PM10212","0","3480","14","27","20","Tuesday","28","11"
"PM10241","0","1980","42","33","20","Tuesday","28","11"
"PM10242","0","3060","32","39","20","Tuesday","28","11"
"PM10341","0","4680","26","42","20","Tuesday","28","11"
"PM10342","0","3600","36","66","20","Tuesday","28","11"
"PM10343","0","1200","15","61","20","Tuesday","28","11"
"PM10344","0","300","3","69","20","Tuesday","28","11"
"PM10401","0","3900","36","62","20","Tuesday","28","11"
"PM10402","0","3000","35","77","20","Tuesday","28","11"
"PM10441","0","3540","35","65","20","Tuesday","28","11"
"PM10442","0","2040","37","65","20","Tuesday","28","11"
"PM10444","0","1260","33","44","20","Tuesday","28","11"
"PM10472","0","2760","35","73","20","Tuesday","28","11"
"PM10501","0","4140","30","84","20","Tuesday","28","11"
"PM10502","0","5760","27","59","20","Tuesday","28","11"
"PM10561","0","3960","30","61","20","Tuesday","28","11"
"PM10611","0","6060","14","68","20","Tuesday","28","11"
"PM10612","0","3180","14","69","20","Tuesday","28","11"
"PM10661","0","4800","15","80","20","Tuesday","28","11"
"PM10662","0","3900","10","70","20","Tuesday","28","11"
"PM10711","0","7320","15","65","20","Tuesday","28","11"
"PM10712","0","4320","13","67","20","Tuesday","28","11"
"PM30754","0","2700","5","60","20","Tuesday","28","11"
"PM10831","0","4320","6","60","20","Tuesday","28","11"
"PM10832","0","5820","13","62","20","Tuesday","28","11"
"PM10861","0","4080","7","78","20","Tuesday","28","11"
"PM10862","0","3180","9","73","20","Tuesday","28","11"
"PM10865","0","2940","13","83","20","Tuesday","28","11"
"PM10901","0","3180","16","68","20","Tuesday","28","11"
"PM10902","0","2280","11","77","20","Tuesday","28","11"
"PM10907","0","900","6","58","20","Tuesday","28","11"
"PM10941","0","3240","8","62","20","Tuesday","28","11"
"PM10942","0","600","2","59","20","Tuesday","28","11"
"PM10945","0","1620","13","69","20","Tuesday","28","11"
"PM10948","0","300","2","77","20","Tuesday","28","11"
"PM10981","0","4080","10","67","20","Tuesday","28","11"
"PM10982","0","1560","4","78","20","Tuesday","28","11"
"PM10985","0","360","3","76","20","Tuesday","28","11"
"PM11071","0","6060","13","85","20","Tuesday","28","11"
"PM11074","0","1200","16","70","20","Tuesday","28","11"
"PM11101","0","3900","19","83","20","Tuesday","28","11"
"PM11102","0","1140","11","80","20","Tuesday","28","11"
"PM11108","0","2220","8","61","20","Tuesday","28","11"
"PM11161","0","5400","13","71","20","Tuesday","28","11"
"PM11168","0","2340","8","50","20","Tuesday","28","11"
"PM11201","0","5460","10","60","20","Tuesday","28","11"
"PM11208","0","1860","7","81","20","Tuesday","28","11"
"PM11301","0","2760","15","82","20","Tuesday","28","11"
"PM11303","0","1440","6","77","20","Tuesday","28","11"
"PM11981","0","3420","13","62","20","Tuesday","28","11"
"PM12061","0","3360","9","52","20","Tuesday","28","11"
"PM12121","0","2100","4","61","20","Tuesday","28","11"
"PM12122","0","180","1","47","20","Tuesday","28","11"
"PM12211","0","2580","6","44","20","Tuesday","28","11"
"PM12241","0","2820","6","54","20","Tuesday","28","11"
"PM12331","0","600","1","23","20","Tuesday","28","11"
"PM12342","0","1560","6","72","20","Tuesday","28","11"
"PM12391","0","2280","5","53","20","Tuesday","28","11"
"PM12471","0","2700","4","70","20","Tuesday","28","11"
"PM12502","0","2400","7","63","20","Tuesday","28","11"
"PM12571","0","1200","2","47","20","Tuesday","28","11"
"PM12572","0","1920","21","67","20","Tuesday","28","11"
"PM12622","0","1260","19","56","20","Tuesday","28","11"
"PM12641","0","1980","9","62","20","Tuesday","28","11"
"PM12721","0","2400","3","61","20","Tuesday","28","11"
"PM12781","0","1980","6","87","20","Tuesday","28","11"
"PM12851","0","2760","15","71","20","Tuesday","28","11"
"PM12921","0","960","35","83","20","Tuesday","28","11"
"PM12961","0","1140","3","61","20","Tuesday","28","11"
"PM12981","0","1800","5","57","20","Tuesday","28","11"
"PM13011","0","1380","13","48","20","Tuesday","28","11"
"PM13014","0","660","6","45","20","Tuesday","28","11"
"PM13041","0","1380","37","34","20","Tuesday","28","11"
"PM13044","0","120","2","60","20","Tuesday","28","11"
"PM13101","0","1440","13","78","20","Tuesday","28","11"
