"identif","carga.15","intensidad.15","ocupacion.15","velocidad.15","Hora","diaSemana","diaMes","Mes"
"PM10013","0","120","0","101","02","Wednesday","29","11"
"PM10021","0","360","0","0","02","Wednesday","29","11"
"PM10091","0","240","0","0","02","Wednesday","29","11"
"PM10092","0","0","0","0","02","Wednesday","29","11"
"PM10141","0","180","0","88","02","Wednesday","29","11"
"PM10142","0","60","0","96","02","Wednesday","29","11"
"PM10211","0","180","0","40","02","Wednesday","29","11"
"PM10212","0","240","0","87","02","Wednesday","29","11"
"PM10241","0","180","0","95","02","Wednesday","29","11"
"PM10242","0","360","0","86","02","Wednesday","29","11"
"PM10341","0","180","0","91","02","Wednesday","29","11"
"PM10342","0","180","0","94","02","Wednesday","29","11"
"PM10343","0","0","0","92","02","Wednesday","29","11"
"PM10344","0","60","0","85","02","Wednesday","29","11"
"PM10401","0","180","0","84","02","Wednesday","29","11"
"PM10402","0","180","0","100","02","Wednesday","29","11"
"PM10441","0","180","0","78","02","Wednesday","29","11"
"PM10442","0","180","0","78","02","Wednesday","29","11"
"PM10444","0","0","0","47","02","Wednesday","29","11"
"PM10472","0","420","0","80","02","Wednesday","29","11"
"PM10501","0","120","0","91","02","Wednesday","29","11"
"PM10502","0","480","0","93","02","Wednesday","29","11"
"PM10561","0","240","1","0","02","Wednesday","29","11"
"PM10611","0","240","0","85","02","Wednesday","29","11"
"PM10612","0","360","0","63","02","Wednesday","29","11"
"PM10661","0","360","0","90","02","Wednesday","29","11"
"PM10662","0","240","0","67","02","Wednesday","29","11"
"PM10711","0","300","0","75","02","Wednesday","29","11"
"PM10712","0","300","0","0","02","Wednesday","29","11"
"PM30754","0","720","1","75","02","Wednesday","29","11"
"PM10831","0","300","0","81","02","Wednesday","29","11"
"PM10832","0","120","0","69","02","Wednesday","29","11"
"PM10861","0","360","0","95","02","Wednesday","29","11"
"PM10862","0","120","0","85","02","Wednesday","29","11"
"PM10865","0","0","0","102","02","Wednesday","29","11"
"PM10901","0","360","1","77","02","Wednesday","29","11"
