"identif","carga.15","intensidad.15","ocupacion.15","velocidad.15","Hora","diaSemana","diaMes","Mes"
"PM10013","0","120","0","85","00","Wednesday","29","11"
"PM10021","0","720","1","43","00","Wednesday","29","11"
"PM10091","0","840","1","81","00","Wednesday","29","11"
"PM10092","0","0","0","42","00","Wednesday","29","11"
"PM10141","0","720","1","85","00","Wednesday","29","11"
"PM10142","0","360","0","77","00","Wednesday","29","11"
"PM10211","0","840","1","47","00","Wednesday","29","11"
"PM10212","0","420","0","86","00","Wednesday","29","11"
"PM10241","0","840","1","80","00","Wednesday","29","11"
"PM10242","0","420","0","86","00","Wednesday","29","11"
"PM10341","0","1020","2","79","00","Wednesday","29","11"
"PM10342","0","480","0","93","00","Wednesday","29","11"
"PM10343","0","180","1","81","00","Wednesday","29","11"
"PM10344","0","120","0","86","00","Wednesday","29","11"
"PM10401","0","1140","2","80","00","Wednesday","29","11"
"PM10402","0","1620","2","85","00","Wednesday","29","11"
"PM10441","0","780","2","85","00","Wednesday","29","11"
"PM10442","0","720","2","77","00","Wednesday","29","11"
"PM10444","0","240","1","49","00","Wednesday","29","11"
"PM10472","0","1560","2","85","00","Wednesday","29","11"
"PM10501","0","1080","2","93","00","Wednesday","29","11"
"PM10502","0","2100","2","77","00","Wednesday","29","11"
"PM10561","0","1020","3","75","00","Wednesday","29","11"
"PM10611","0","1560","3","74","00","Wednesday","29","11"
"PM10612","0","780","2","74","00","Wednesday","29","11"
"PM10661","0","1560","3","85","00","Wednesday","29","11"
"PM10662","0","1440","3","69","00","Wednesday","29","11"
"PM10711","0","1980","3","74","00","Wednesday","29","11"
"PM10712","0","1140","2","0","00","Wednesday","29","11"
"PM30754","0","1680","3","69","00","Wednesday","29","11"
"PM10831","0","1140","1","82","00","Wednesday","29","11"
"PM10832","0","1620","2","74","00","Wednesday","29","11"
"PM10861","0","1380","1","93","00","Wednesday","29","11"
"PM10862","0","720","1","85","00","Wednesday","29","11"
"PM10865","0","780","2","88","00","Wednesday","29","11"
"PM10901","0","1020","4","80","00","Wednesday","29","11"
"PM10902","0","840","3","84","00","Wednesday","29","11"
"PM10907","0","240","1","78","00","Wednesday","29","11"
"PM10941","0","1380","2","81","00","Wednesday","29","11"
"PM10942","0","240","0","61","00","Wednesday","29","11"
"PM10945","0","660","5","92","00","Wednesday","29","11"
"PM10948","0","0","0","92","00","Wednesday","29","11"
"PM10981","0","2400","5","0","00","Wednesday","29","11"
"PM10982","0","120","0","84","00","Wednesday","29","11"
"PM10985","0","0","0","83","00","Wednesday","29","11"
"PM11071","0","2280","3","101","00","Wednesday","29","11"
"PM11074","0","480","3","89","00","Wednesday","29","11"
"PM11101","0","1200","3","90","00","Wednesday","29","11"
"PM11102","0","180","1","92","00","Wednesday","29","11"
"PM11108","0","1080","3","77","00","Wednesday","29","11"
