"identif","st_x","st_y"
"03FL08PM01","-3.7207203091041","40.4188657991151"
"03FL08PM02","-3.72075259613216","40.4184487077498"
"03FL20PM01","-3.72120697210549","40.4173784549036"
"03FL56PM01","-3.7249122079141","40.4156264291527"
"03FT08PM01","-3.72062641981054","40.4184383968484"
"03FT52PM01","-3.72477814470918","40.4155477739858"
"04FL12PM01","-3.73245598190173","40.4127824838219"
"04FL92PM01","-3.74096203697837","40.4090140793155"
"04FT14PM01","-3.73216233779094","40.4127955575323"
"04FT74PM01","-3.73619174134233","40.411208153973"
"04TL40PM01","-3.65266759152974","40.403563859455"
"04TL40PM02","-3.65271735961949","40.4035188021185"
"04TL40PM03","-3.65277143459682","40.4034865136991"
"04TL40PM04","-3.65281708097986","40.4034478762167"
"05FT10PM01","-3.74065370147388","40.4090434930658"
"05FT37PM01","-3.74362726121266","40.4073440331941"
"05FT66PM01","-3.74670172348712","40.4061386857892"
"05TL00PM01","-3.64826218112946","40.3996503633713"
"05TL00PM02","-3.64833738566003","40.3996403467516"
"05TL00PM03","-3.64837048261342","40.3996017813675"
"08RE14PM01","-3.66398341547288","40.408524928452"
"08RE66PM01","-3.66351343161537","40.4058816739855"
"08RL21PM01","-3.66650588750281","40.4036516475139"
"08RR02PM01","-3.66562519118365","40.4030328604331"
"08RR18PM01","-3.66452937589701","40.4039123030865"
"09NC51PM01","-3.66646126499228","40.4029892138848"
"09XC09PM01","-3.66539430304138","40.4048583160944"
"09XC37PM01","-3.66622990578146","40.4031381501377"
"10NC18PM01","-3.66943645106004","40.3980546731964"
"10NC76PM01","-3.67309903738891","40.3945202059065"
"10XC18PM01","-3.6690102268762","40.3978533050936"
"10XC82PM01","-3.67362269514012","40.3927664827878"
"11NC43PM01","-3.67876611699017","40.3905169708313"
"11RE20PM01","-3.68068090007645","40.3940220222601"
"11RE59PM01","-3.68852155109629","40.387249724636"
"11RE59PM02","-3.68834278487349","40.3873563334762"
"11XC46PM01","-3.67794530664159","40.3907306375402"
"12NC07PM01","-3.68502922391374","40.3885799415284"
"12NC63PM01","-3.69024974522621","40.388820022248"
"12XC06PM01","-3.68486524378886","40.3881662104149"
"12XC63PM01","-3.69074644365715","40.3885171418491"
"13NC25PM01","-3.69299702891871","40.3896405437632"
"13NC95PM01","-3.70178122431682","40.3938131106423"
"13NL60PM01","-3.69794858788844","40.3887971786016"
"13XC26PM01","-3.69570795348718","40.3906257508045"
"13XC97PM01","-3.70183850474838","40.3935463467235"
"13XL49PM01","-3.69657949392029","40.3866605343416"
"14NC58PM01","-3.70844932850855","40.3960106341873"
"14NC71PM01","-3.71010851002415","40.3966825103796"
"14NC96PM01","-3.71035126398279","40.3966544308004"
"14NL24PM01","-3.70217167152545","40.3933640548023"
"14NL78PM01","-3.70699004203762","40.3955627343858"
"14RA02PM01","-3.70200439061595","40.3933924823994"
"14RA15PM01","-3.70220424131438","40.3943504563024"
"14RC10PM01","-3.70528811292983","40.3958362413071"
"14RE35PM01","-3.70612741045824","40.3947792774353"
"14RH25PM01","-3.70683475416017","40.3956228928905"
"14RL11PM01","-3.70557113844042","40.3937524775136"
"14RL30PM01","-3.70441566502824","40.393483328798"
"14RM32PM01","-3.70231948159341","40.3943057340274"
"14RN01PM01","-3.70574593924508","40.3937037348247"
"14RN27PM01","-3.70682991570158","40.3923660631719"
"14RR28PM01","-3.70311694100208","40.3929517932173"
"14VE04PM01","-3.70323820374336","40.394341964372"
"14XC71PM01","-3.70993751984623","40.395577008258"
"14XL36PM01","-3.70259716144185","40.392799030565"
"14XL89PM01","-3.70805430901567","40.3949967118481"
"15NC71PM01","-3.7161918024113","40.3995510222489"
"15NL09PM01","-3.71052952437462","40.397063835181"
"15NL71PM01","-3.71619589493469","40.3996720252446"
"15RA15PM01","-3.71052668758801","40.3973311502439"
"15RC05PM01","-3.71036215859636","40.3973135462946"
"15RE04PM01","-3.71064193815454","40.3972932121795"
"15RH53PM01","-3.71442050676738","40.3982372346237"
"15RM08PM01","-3.71743015842264","40.3985827486192"
"15RM58PM01","-3.71304555263481","40.3969503592095"
"15RN03PM01","-3.71764099800882","40.398561680951"
"15RR22PM01","-3.71287470162125","40.3968352674309"
"15RR41PM01","-3.71121711087256","40.3977689753882"
"15RR60PM01","-3.71211205264497","40.3994644772497"
"15RR60PM02","-3.71206394811187","40.3995206181511"
"15RR60PM03","-3.71202183206684","40.3995674147146"
"15RT07PM01","-3.71289433939034","40.3967424106065"
"15RU11PM01","-3.71290870299887","40.3966657618353"
"15RV01PM01","-3.71163132986961","40.3983226217624"
"15RV50PM01","-3.71617284163743","40.3997905364888"
"15XC54PM01","-3.7143319143996","40.3984937366129"
"15XL49PM01","-3.7142993178178","40.3982891742955"
"16NC07PM01","-3.71971434151734","40.3995343348114"
"16NC75PM01","-3.72219396333553","40.4046546746777"
"16RC01PM01","-3.72324822309998","40.4035944569494"
"16RE18PM01","-3.72291944452423","40.4024342234037"
"16XC14PM01","-3.71990634384298","40.3989329034323"
"16XC70PM01","-3.72298272387209","40.4038066660179"
"17NC04PM01","-3.72150494547663","40.4068113817731"
"17NC65PM01","-3.72229760934921","40.4130541842375"
"17NC80PM01","-3.72221394512682","40.4144971271521"
"17RA10PM01","-3.72122293961341","40.4088889091406"
"17RC01PM01","-3.72267735190371","40.4098669845477"
"17XC08PM01","-3.72235446439532","40.4067863156486"
"17XC49PM01","-3.72302979528276","40.4109976413554"
"18NC20PM01","-3.72152833470758","40.4176214554633"
"18NC52PM01","-3.72179759473423","40.4197569270979"
"18NC52PM02","-3.72171192258685","40.4198016154282"
"18NC80PM01","-3.72535972155463","40.4215814574268"
"18RA28PM01","-3.7216632031324","40.4166288246021"
"18RA66PM01","-3.72196588467301","40.4191754084224"
"18RC06PM01","-3.72143079091297","40.4165917264685"
"18RL09PM01","-3.72254621745354","40.419203428636"
"18RL29PM01","-3.72277795493034","40.4172483405001"
"18RM17PM01","-3.72294470991185","40.4175479505869"
"18RN69PM01","-3.72275557274201","40.4164808817994"
"18RT11PM01","-3.7206312258721","40.417646800774"
"18RU04PM01","-3.72091689680249","40.418476860189"
"18RV21PM01","-3.74086093287365","40.4092068205431"
"18XC11PM01","-3.72276321186368","40.4159868547215"
"18XC46PM01","-3.72240118593456","40.4192845186193"
"18XC82PM01","-3.72463023025878","40.4211296968813"
"19XC40PM01","-3.73039231535733","40.4237267341512"
"19XC80PM01","-3.73405682597841","40.4260159188337"
"90EL00PM01","-3.69073428219754","40.3868465398376"
"90EL16PM01","-3.6902049671038","40.385800651894"
"90EL38PM01","-3.68802645785475","40.3829799230444"
"90EL69PM01","-3.68656123544698","40.3814520834881"
"90ET09PM01","-3.68543843530506","40.3789036437848"
"90ET43PM01","-3.68644181325661","40.3815366627564"
"90ET58PM01","-3.68733834166822","40.382510023664"
"90ET93PM01","-3.69005767983704","40.3858712538759"
"PM10001","-3.67120775177153","40.4913085687665"
"PM10005","-3.67133607790995","40.491298691067"
"PM10013","-3.67399032077399","40.4802256659503"
"PM10021","-3.67394818740069","40.479951495027"
"PM10091","-3.67426672994593","40.4753498665224"
"PM10092","-3.6744515102406","40.475291625162"
"PM10141","-3.67162953993144","40.4701866426117"
"PM10142","-3.67171499592332","40.4701462311148"
"PM10211","-3.66830236179274","40.4657681532283"
"PM10212","-3.66851064038883","40.4657267621406"
"PM10241","-3.66662298700649","40.4626737905815"
"PM10242","-3.66685477374485","40.4626363360979"
"PM10274","-3.66527919889105","40.4595511440089"
"PM10341","-3.66328573466633","40.4537909484424"
"PM10342","-3.66359037008524","40.4537292841599"
"PM10343","-3.66336858073639","40.4537801944091"
"PM10344","-3.66344587022234","40.4537764947742"
"PM10401","-3.66256275994553","40.4491509102879"
"PM10402","-3.66282093219639","40.4491154434166"
"PM10441","-3.66119332166223","40.4449946258788"
"PM10442","-3.66143336773038","40.444972652769"
"PM104431","-3.66180499270574","40.4455720413828"
"PM10444","-3.66136048110976","40.4449895462714"
"PM104541","-3.66112432247318","40.4442443028044"
"PM10472","-3.66065773901888","40.4435915905414"
"PM104841","-3.65994053916397","40.4418894296091"
"PM10501","-3.65915627024256","40.4401972146131"
"PM10502","-3.659432729025","40.4402031576732"
"PM10534","-3.65935716992008","40.4382329812927"
"PM10561","-3.65984186468788","40.4349883929193"
"PM10562","-3.66024105458202","40.4340818350938"
"PM10594","-3.66040180489759","40.432717291642"
"PM10611","-3.66067779128476","40.4302135221793"
"PM10612","-3.66080002604871","40.4302308200655"
"PM10661","-3.66024324022531","40.4268110869028"
"PM10662","-3.66042675398435","40.4267680543624"
"PM10711","-3.65908773596308","40.4210519206209"
"PM10712","-3.65929328292603","40.4210709353058"
"PM107231","-3.6593879174793","40.4211081838856"
"PM107631","-3.66026931600451","40.4172190071677"
"PM107641","-3.66133547045548","40.4183538562524"
"PM107642","-3.6599366252763","40.4167189025947"
"PM10774","-3.65935068485824","40.4222619658171"
"PM10831","-3.6609402825489","40.4134268930665"
"PM10832","-3.66111649270703","40.4135379684631"
"PM10861","-3.66270680999966","40.4105431505145"
"PM10862","-3.66296134810844","40.4106736271064"
"PM10865","-3.66284586934179","40.4106337995129"
"PM10901","-3.66512229999171","40.4060887246248"
"PM10902","-3.66543885994983","40.4060566219918"
"PM10907","-3.66501160030964","40.4060548837588"
"PM10941","-3.66606148609925","40.4042378884037"
"PM10942","-3.66629981974417","40.4042595709991"
"PM10945","-3.66621033505629","40.4042656429075"
"PM10948","-3.66638745436806","40.4042733105887"
"PM10981","-3.66766142759982","40.3999803550007"
"PM10982","-3.66789209385331","40.4000031698241"
"PM10985","-3.66775163219249","40.4000082559535"
"PM11071","-3.67469480456297","40.3929789875879"
"PM11074","-3.67475877111685","40.3930393432707"
"PM11101","-3.67765406642757","40.3907724960663"
"PM11102","-3.67869607894348","40.3900259941275"
"PM11108","-3.67760055309291","40.3907314669011"
